stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0
 24-34,0,0,0,0,0,0,3.38,0.74,0,0,5.21,10.92,0,0,0
 36-46,0,2.21,0,0,0,0,0,0.74,0,1.5,7.05,22.82,0,0,0.81
 48-58,0.41,0.43,0,0,0.49,0,2.86,0.48,0,0,10.71,23.94,0.65,0,0
 60-70,2.36,9.83,1.96,0,0,0,0,0.94,0,0,0.78,16.17,0,0,0
 72-82,0.98,14.81,0,0.67,0,0,0,1.18,0.63,0,4.55,0,0,0.5,0
 84-94,0,6.14,0,0,0,0.96,0.95,2.86,0,0.98,4.09,8.53,0,1.34,0
 96-106,0,0,0,0,0,0,0.73,1.09,0,0,0,2.6,0,0.81,1.49
108-118,0,2.63,0.53,0,0,0,3.73,0,0,0,3.22,2.59,0,0,0.79
120,0,0,0,0,0,0,0,13.59,0,0,0,5.17,0,0,0
