stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,34.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.65,25.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,0,0,0,5.43,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,1.9,0,0,1.16,2.2,0,0,0,0,0,0,0,0.84,0,6.12,0,0,0,1.84,0,3.72,10.27,0,0,0,0,0
 24-34,0,0,0,0,0,0.6,1.29,0,0,0,0,0,0,0,0,0,1.06,0,39.35,6.6,0,0,0,0,0,24.65,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,1.1,0,38.74,19.05,0,0,0,0,0,29.69,0,0,0,0,0
 48-58,0,0,0,0,0,0,23.38,0,2.03,0,1.16,0,0,0,0,0,0.42,0,47.53,4.23,0,0.65,0,0,0,47,0,0,1.86,0,0
 60-70,0,0,0,0,0,0,128.05,0,3.04,0,0.77,0,0,0,0,0,0.72,0,71.9,3,1.79,0,0,0,0,45.55,0,0,0,0,2.89
 72-82,0,0,0,0,0,0,230.46,0,2.41,0,0,0,0,0,0,0,0,0,150.53,7.24,0.84,0,0,0,0,50,0,0,0,0,0
 84-94,0,0,0,0,2.94,0,102.68,0,9.21,0,0.79,0.8,0.82,0,0,0,2.46,1.77,134.81,3.45,2.49,2.54,0,0,0,59.26,0.9,0,0,0,0
 96-106,0,0,0,0,3.5,2.26,340.88,0,21.44,2.08,0.68,0,0,0.74,0,0.65,1.52,2.51,123.07,5.82,0,0,0,0,0,22.61,0,0,0,0,0
108-118,0,0,0,0,6.42,0,323.14,0,18.67,0,0,0,0,0.48,0.56,0,8,0,167.29,15.06,0.81,0,0,0,0,21.88,0,2.42,0,1.69,0
120,0,0,0,0,0,0,270.34,0,19.79,8.14,1.85,1.44,0,1.44,0,0,3.01,0,284.31,9.51,7.34,0,0,0,0,27.1,0,0,0,0,0
