stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08,0,4.83,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,0,0,0,0,0,0,0,0
 24-34,0,0,1.21,0,0,0,1.04,0,0,10.06,0,0,0,2.13,0,0,0,0.89,1.22,0,0,0
 36-46,0,0,6.09,0,0,1.25,0,0,0,19.45,0,0,0,11.45,0,0,0,0,1.26,0,0,0
 48-58,0,0,6.2,0,0,0,0,0,0,7.39,28.7,0,0,8.44,0,0,0,0,4.1,0,0,0
 60-70,0,0,11.45,0,0.68,0,0,0,0,0.71,176.71,0.89,0,17.64,0,0,0,0,0,0,0,0
 72-82,0,0.73,8.46,0.82,0,1.08,0,0,0.55,0.72,517.93,2.07,0,11.78,0,0,0,0,0,0,0,0
 84-94,0.66,4.61,8.32,0,0,0,0,0,0,24.1,557.33,0,0,9.45,0,0,0,0,0,0,1.2,0
 96-106,2.08,2.03,13.05,0,10.54,0,0,1,0,4.78,220.6,0,0,13.18,1.71,0,0.79,5.58,0,0,0,0
108-118,0,0,3.21,0,0,0,0,0,0,14.77,194.41,0,0.94,11.43,0,0,7.9,0,3.29,2.69,0,6.96
120,0,3.33,7.36,0,0,0,0,0,0,4.69,162.67,0,0,27.91,0,0,0,0,0,0,0,0
