stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.21,175.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.58,105.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.7,0,0,0,13.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.83,5.55,0,0,38.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,39.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.75,3.95,0,0,42.69,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.66,19.25,2.99,0,3.89,0,0.87,0,5.19,2.61,0,0,0,0,0,1.81,16.06,0,0,6.24,117.47,2.59,0,0.84,0,0,0,5.18,21.45,3.8,68.83,0,0,1.69,0,0
 24-34,0,0,0,2.96,6.51,0,0,4.2,1.01,0.85,0,3.19,2.67,1.06,0,0,0,0,1.75,11.26,0,0,3.93,149.95,6.27,0,1.96,0,0,2.73,0,28.04,0.89,204.67,0,0,0,0,0
 36-46,0,0,0,0,15.98,0,0,3.05,3.26,1.15,0,7.26,0,0,0,0,0,0,0,18.51,0,0.63,5.69,141.62,2.14,0,0,0,0,0.91,0,103.64,0,156.65,0,0,0,0,0
 48-58,0,0,0,0,48.45,0,0,22.11,7.45,3.07,0,10.16,0,0.88,0,0,0,0,7.27,29.3,0.38,0,5.72,110.77,6.44,0,0,4.77,0,0,0,135.67,0,162.98,0,0,1.05,0,2.71
 60-70,0,0,0,0,110.28,0,0,22.71,11.74,5.15,0,57.65,0,0,0,0,0,0.74,0,89,2.16,3.72,2.77,140.37,0,0,0,0,7.62,0,0,64.77,0,110.43,0,0,0,0,15.93
 72-82,0,0,0.86,0,152.68,1.55,0,38.8,10.29,3.69,0.57,59.52,0,2.89,0,0,0,0,0,135.62,3.44,2.16,2.15,121.65,0,0,0.54,0,0,3.17,0,37.4,0,62.05,0,0.9,0.79,0.51,7.95
 84-94,5.55,0,0,0,487.94,8.55,0,38.42,13,27.83,2.24,47.59,0,0.82,0,0,0,3.4,0,187.73,10.8,4.7,7.32,109.57,0,0,6.94,0,1.2,1.91,0,76.72,0,74.54,0,5.27,1.04,2.4,1.11
 96-106,0,0,1.18,0,198.07,0,0,27.38,31.33,10.53,1.26,68.18,1.71,1.57,0,0.81,9.71,0,0,283.51,1.23,3.18,7.27,88.88,0,2.31,1.32,0,2.4,5.97,0,59.51,0,63.15,2.82,0,3,3.12,0
108-118,0,0,0,0,185.84,4.01,0.73,43.85,21.71,8.63,4.85,56.89,0,0,1.41,0,0,8.78,0.58,343.05,0,0.83,1.37,95.76,0,0.42,1.26,0,0,4.91,0,47.26,0,48.5,0,1.7,0.69,0.71,0
120,0,0,0,0,90.9,0,0,43.21,18.1,4.85,0,86.51,0,0,0,0,0,5.94,0,637.72,0,5.52,0,100.94,0,0,0,0,0,0,0,7.58,0,30.23,0,0,0,0,0
