stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,111.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.43,0,0,0,0,0,0,0,0
  5-6,8.5,102.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.17,0,0,0,0,0,0,0,0
  7-9,6.76,0,0,6.28,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.44,0,0,0,20.89,0,165.6,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.03,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,108.98,0,0,0,10.46,0,62.44,0,10.84,0,0,0,0,0,0
 14-21,0,0,0,5.1,4.69,1.91,0,2.95,0,0,0,0,9.21,12.18,0,0,5.58,0,0,4.84,0,5.56,1.02,0,0.88,22.65,0,0,0,0,0,267.62,4.12,0.91,12.82,0,0,0,0,0
 24-34,0,0,0,2.56,5.86,0,0,7.35,0,0,0,0,9.93,6.98,0,0,67.61,0,0.73,15.09,0,1.91,16.33,0,0,110.05,0,34.28,0,0,0,289.52,0,3.84,13.32,0,0,3.49,0,13.6
 36-46,0,0,0,0,1.64,0,0,16.54,0,1.36,0,1.31,6.02,4.73,0,0,44.96,0,2.16,0,3.69,6.89,31.01,0,1.62,187.5,0,52.14,0,0,0,273.64,0,0,5.58,0,0,0,0,14.25
 48-58,0,0,0,0,5.89,0,0,20.64,0,13.01,1.09,4.54,19.08,30.07,0.44,0,41.76,0,0,0.37,11.41,7.8,36.44,0,0.68,147.42,0,95.32,0,0,0,101.12,0,0,6.16,0,0,0,0,49.99
 60-70,0,0,0,0,12.76,0,0,25.1,0,5.68,0,3.25,49.47,23.59,0,0,22.3,0,0,1.57,16.65,7.89,18.4,0,0.8,145.82,0,67.25,0,0,0,83.73,0,0,6.46,1.58,0,0.65,0,41.25
 72-82,0,0,2.93,5.65,6.43,0,0,35.34,0,7.45,3.5,3.82,215.74,11.6,0,0.61,44.31,0,0.69,5.75,7.88,15.13,44.17,3.12,0,107.01,0,258.72,0,0,0,55.9,0,0.9,10.68,0,0,2.95,1.14,29.63
 84-94,5.55,0,3.42,24,14.72,0,0,52.48,0,7.87,0,4.12,504.08,20.96,0,1.01,52.71,1.24,1.39,21.24,31.32,4.63,44.4,2.01,1.9,169.12,0,238.28,0,0,0,137.55,0,9.84,12.52,0,0.75,0,3.28,14.46
 96-106,0,0,10.11,49.44,39.61,11.62,0.98,63.77,1.34,13.14,10.54,11.94,737.25,2.38,0,0.74,83.02,0.6,3.77,38.95,8.92,27.34,32.99,0,0,188.84,0,546.93,0.77,0,2.14,115,0,1.45,5.02,3.47,0,2.29,12.21,30.45
108-118,0,0,7.73,61.45,32.91,0,0,42.46,0,16.4,2.81,7.17,1026.77,2.74,1.35,0,62.1,1.7,0.69,38.44,35.81,28.39,35.32,1.3,0.51,184.76,0,373.48,0,0,0,79.94,0,6.97,5.16,6.13,5.74,2.68,7.76,17.32
120,2.37,0,3.99,14.92,35.57,0,0,29.41,0,8.13,0,3.48,714.17,0,0,3.41,45.13,6.33,4.64,19.53,9.71,12.62,30.63,0,1.04,124.96,8.04,300.84,0,0,0,50.57,0,11.3,0,1.16,0,0,20.6,23.98
