stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,107.06,0,0,0,0,0,0,0
 24-34,0,0,2.5,0,0.63,0,0,0.99,0.63,0,0,0.85,0,0,2.98,1.77,0,0,58.56,2.12,0.96,0,0,984.37,0.93,0,5.61,0,0,11.34,0
 36-46,0,0,3.49,0,2.08,0,0,0,0,0,0,0.61,0,0,2.25,13.36,0,0.75,39.88,0.66,0.73,0,0,1951.35,0,0,5.74,0,0,0.62,0
 48-58,0,0,0.95,0,20.02,5.19,1.04,0.94,0.38,0,1.21,0.63,0,0,6.78,5.49,0,0.45,58.61,0,0.69,0,0,1540.61,0,0,16.57,0,0,4.19,1.12
 60-70,0,0,0,0.58,35.17,2.05,0,1.57,0,0,3.36,7.05,0,1.02,10.45,28.89,0,0,34.15,0,0,0.91,0,1727.65,0,0,11.2,0,0,0,0
 72-82,0,0,2.13,0,37.49,2.01,0.68,2.79,0,0,0,0,2.18,0.72,9.15,28.62,2.17,0,53.79,0,0,0.56,0,1827.56,0,0,6.46,10.2,0.87,5.48,4.01
 84-94,0,1.26,4.39,8.75,45.17,6.41,2.61,3.25,0,0,1.07,21.61,0,0,9.17,42.15,0,0.59,26.18,1.14,0,0,4.36,4370.76,1.17,0,16.11,0,0,1.75,2.99
 96-106,0,0,20.45,9.48,61.39,3.91,0,10.59,0,0,4.07,27.93,0,0,36.64,64.17,0,0,39.19,0,0,0,0,3521.97,0,1.07,2.52,0,0,0.78,0
108-118,0,0,8.67,0,24.99,6.65,1.34,5.23,0,1.03,0.45,22.01,0,0,13.18,65.24,2.91,0,21.71,0,0.83,0,2.06,2818.37,0,0,3.51,1.7,0,0,0
120,0,0,16.05,0,12.76,1.53,0,0,0,0,0,0,0,3.39,7.67,0,0,0,40.77,0,0,1.02,0,2501.49,0,0,17.15,0,1.54,0,8.94
