stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.62,321.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.6,280.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,12.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.37,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,1.85,1.12,0.99,0,0,0,1.09,0,0,0,0,0,0,6.23,0,0.9,0,0,0,43.43,2.46,0,0.9,0,0,0,3.27,0,0,41.18,0,0,0,0
 24-34,0,0,0.75,1.74,1.02,1.22,0,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,2.54,206.55,0,0,0,0,0.99,3.84,0,0,0,89.77,0,0,0,0
 36-46,0,0,1.35,0,1.4,14.59,0,0,0,16.16,0,0,0.69,0,0,0,0,0.61,4.35,0,0.86,1.83,472.92,0,3.16,0,0,0,0,0,0,0,99.31,0.85,2.7,0,0
 48-58,0,0,0,0,0,58.84,0,0,0.43,26.45,0,0,0,0,0,0,0,0.59,15.41,0,0,0,614.2,0,0,0,0,0.56,3.38,0,0,0,115.01,0,7.94,0,0.72
 60-70,0,0,0,5.58,0,477.92,0,0,1.53,11.12,0,0,0,0,0,0,7.26,0,11.24,0,0,0,1058.12,0,0,0,0,3.31,4.67,0,0,1.5,106.25,0,0,0,29.83
 72-82,0,0,0.93,7.83,5.38,727.98,0,0.58,9.12,19.56,1.79,0,0,2.21,0,0.57,0,2.38,16.8,0.92,0.55,1.13,1010.8,0,0,0,0,0,0,0,0,0,61.22,0,7.03,0,5.02
 84-94,0,0,0,7.94,8.21,719.13,0,1.15,7.61,33.03,0.77,0,0,0.7,0,1.29,1.04,0,22.11,0,1.72,0,843.27,0,0,2.15,0,0,1.65,0,0,0,75.23,1.64,0.98,1.59,3
 96-106,0,0,0,5.93,0,815.72,0.94,0,0,32.07,0.81,0,0,0.81,0,4.1,1.27,0,24.67,0,0.73,3.75,771.59,0,0,5.28,0,0,15,0,0,0.71,13.78,0.56,1.29,1.99,0.85
108-118,0,0,0,25.31,2.74,644.66,0,0,0,28.83,0,0,0,0,1.48,0,0,0,12.49,0,4.52,1.04,824.97,0,0,6.46,0,0,2.31,0,1.48,0,30.68,1.11,0,1.9,2.22
120,0,0,0,20.47,0,462.27,0,0,10.14,29.61,0,0,0,0,0,0,0,0,30.84,0,0,3.41,1499.24,0,3,0,0,0,0,0,0,0,31.08,0,8.01,0,0
