stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,liver,mesenchyme,mucous,neural,olfactory,periderm,somites,spinal.cord,vasculature
 14-21,0,3.03,0,0,0,0,0,0,3.06,0,0.84,0,0,0,0,0
 24-34,0,0.74,0,0,0,0,0,0,1.9,0,28.39,0,0,0,2.82,0
 36-46,0,0,4.23,0,0,0,0.63,0,2.77,0,32.7,0,0,0,4.29,0
 48-58,0,6.6,24.16,0,0.42,0,0,0,14.79,0.53,56.22,0,0.37,0.55,5.41,0
 60-70,0,0,37.09,0,0,0.64,1.48,0,25.43,0,128.57,1.42,0,0,0,0
 72-82,0.62,0.96,68.03,0,0,0,3.01,0,26.47,0,105.44,0,0,0,3.71,2.28
 84-94,0,1.43,51.09,0,0,0,2.97,0.68,17.05,0,73.66,0,0,0,4.63,0
 96-106,0,0.8,51.1,0,0,0,2.74,0,16.61,0,98.23,1.81,0,0,7.71,0
108-118,0,0,35.97,0.54,0.52,0,0,0.56,12.77,0,88.39,1.07,0,0,0,0
120,0,1.44,49.77,0,0,0,13.26,0,10.96,0,164.75,0,0,0,6.18,0
