stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.75,0,0,4.97,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0
 14-21,0,0,0.92,0.95,0,0,0,0,0,0,0,0.93,3.56,0,0,0.82,0.91,0,0
 24-34,0,0,0.68,0,0,0,0,0,0,3.3,0,0,0.8,0,7.13,0,0,0.89,0
 36-46,0,0,0,0.84,0.66,3.81,0,0,0,0,0,0,1.98,0,15.99,0,0,0,0
 48-58,0,0,0,0,0,0,0.59,0,0,0,0,0.42,1.12,0,23.73,0,0,0,0
 60-70,0,0,0.9,0,0.78,0,1.01,0,0,0,0,0,0,0,62.34,0,0,0,0
 72-82,0,0,0.53,0,0.54,0.7,0,0,0,0,0,0,1.59,0,26.84,0,0,3.59,0.95
 84-94,0,0,1.2,0,0,0.68,0,1.48,0,0,0.57,0,0,0,103.69,0,0,0,0
 96-106,0,0,1.97,0,1.7,0,0,0.86,0.62,0,0,0,0,0,86.78,0,0,0,0
108-118,0,0,2.75,0,0,2.15,0,0.95,0,2.67,0.41,0,1.11,0,56.26,0,0,0,4.48
120,0,0,3.87,0,0,1.79,0,0,0,0,0,0,4.98,0,62.08,0,0,0,0
