stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.05,0,0,0,0
  5-6,16.85,51.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,0,0,78.1,0,0,0,0
  7-9,0,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,3.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,0,0,0,0,0,0,0,0,0,1.05,0,0,0,1.92,0,0,0,0,1.14,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0.69,6.28,0,0,0,0,0,0,2.71
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,1.42,0.88,10.99,0.75,0,0,0,2.32,0,4.53
 48-58,0,0,0,0.66,0,2.62,0,0,1.58,0,0.71,0,0,9.55,0,2.24,0.41,10.71,0,0,0,0,0,0,11.79
 60-70,0,0,0,0.76,0,0,0,0,12.7,0,0,0,0,7.46,0,0,0,8.03,0,0,0,0,0,0.94,87.73
 72-82,0,0,0,0,0,0.65,0,0.87,0,0,0,0,0,15.21,0,0,0,15.22,0,1.48,0,0,0,0,538.83
 84-94,0,0,0,1,0,3.88,0.74,0,0,0,0,0,0,1.98,0,0,0,5.2,0,0,0,0,0,0.63,389.25
 96-106,0,0,0,0,1.68,19.88,0,1.88,1.38,0.99,0,0.86,0,5.41,0.67,0,0,29.97,0,0,3.01,0.6,0,0,1139.83
108-118,0,0,0,0,0,20.96,1.1,0,0,0,0,0.79,0.9,7.65,0,0,0,11.32,1.27,0,0,0.88,1.59,0,794.35
120,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,67.4,2.89,0,9.03,0,0,0,1100.95
