stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.8,0,0,2.48,0,0,0,10.88,0,0,0,0,0,0,0,2.02,0,0,0,109.05,0,0,0,1.97,1.05,0,0.85,50.43,0,0,0,0
 24-34,0,0.71,0.9,0,38.38,0,0,0.99,8.27,0,0,0,0,0,0,0.61,1.22,0,0,1.98,386.45,0,0,0.9,1.5,0,0,0.62,139.7,0,22.81,0,0
 36-46,0.95,2.82,0,0,62.57,0,0,0,13.95,0,0,0,0.93,0,0,0,3.3,4.4,0,0.98,586.42,0.57,1.86,0,0.91,0,0,0,198.18,0,5.18,0,0
 48-58,0,0.51,0,0,78.19,0.67,0,0,28.54,1.15,0,3.41,0,0,0,0,3.42,0,0,1.29,698.25,0.71,0,0.38,7.32,0,0,0,232.79,0,2.5,0,2.18
 60-70,0,0,0,0,127.2,0,0,0.76,36.96,0,0.87,0,0,6.06,0,0,7.56,0,0,0.72,707.37,0,0,0,1.57,0,0,0,192.29,0,3.2,0,0
 72-82,0,7.34,0,0,145.71,0,0,0,37.6,1.48,0,0,0.53,0.59,0,0,12.31,0.66,4.68,0.91,409.2,0,0,0,2.27,0,0,0,105.14,0,3.86,0.71,0
 84-94,0,1.12,0.87,0,96.97,0,0,0,81.57,0,0,0,0,0,0,0,5.33,0,0,0,243.71,0,0,0,0.95,0,1.46,0,98.75,0.78,5.3,0,9.74
 96-106,0,4.88,1.63,0,66.85,1,0,0,82.72,0.64,0,1.59,4.07,0,0,0,12.99,1.66,0,2.52,169.69,0,0.7,1.75,5.29,0,0,0,59.48,0,0.7,0,0
108-118,0,0,0,1.7,91.58,0,0.81,0,76.68,0.46,0,0.48,0,0.48,0.6,0,7.69,0,2.06,2.3,260.33,0,0.5,5.38,1.41,0,0,0,27.39,0,0.91,0,1.42
120,0,1.56,0,0,72.59,0,0,0,106.77,0,0,1.69,0,0,0,0,0,0,0,0,110.39,0,0,0,0,0,0,0,23.27,0,17.4,0,0
