stage,axial,blastomeres,eye,fin.mesenchyme,glial,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,10.67,33.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0
 24-34,0,0,2.99,0,0,0,0,0,0,0,1.52,0,0.61,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0
 48-58,0,0,11.62,0,0,2.25,0.48,0,0,0,0,0,0,0,0,14.08
 60-70,0,0,58.44,0,0,0,0,0.9,0,0,1.36,0,0,0,0,2.47
 72-82,0,0,62.31,0,1.02,0,0,8.16,1.93,0,7.44,0,0,0.6,0,0
 84-94,0,0,82.11,1.13,0,0,2.69,1.07,0,0,12.44,0,0,0,0,0
 96-106,0,0,56.01,0,0,0,1.71,5.31,7.27,0,2.22,0,0,0,0,0
108-118,0,0,91.9,0,4.18,0,0,0,0,0,8.98,0,0,0,1.6,1.9
120,0,0,49.16,0,7.84,0,0,0,0,3.01,0,0,0,0,0,0
