stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.2,0.83,0.93,0,0,0,0,0,0,0,0,0,7.67,0.84,0,0,0,0.85,0,2.55,0,0
 24-34,0,0,0,0,0,2.76,0,0,0,0,0,0,2.29,0,0,20.45,0,0,0,2.32,0,1.4,3.48,0,0
 36-46,0,0,0,0,0,10.52,0,0,0,0,0,0,10,0,0,27.02,1.82,0,0,0,0,0,4.29,0,0
 48-58,0,0,0,0.38,0,5.39,3.31,0,0.9,0,0,0,3.48,0,0,14.78,0,0.4,0.38,0,0,0,2.72,0,0
 60-70,0,0,0,0,0,12.38,0,0,0,0,0,0,1.34,0,0,9.25,0,0,0,0,0,0,1.18,0,0
 72-82,0,0,0.69,0.54,0,2.91,4.76,0,0,0,0,0,6.32,0.67,0,9.83,0.9,0,0,0,0,0,0,0,0
 84-94,0,0,1.44,0,0,3.08,0,1.18,0,1.27,0,0,3.81,0,0.65,13.96,0,1.86,0,0,0,0,0,0.78,0
 96-106,0,0,0,0,0,0.58,0,0,0,2.47,0.63,0,6.89,0,0,1.56,0,0,0.57,0,0.89,0,0,0,0
108-118,0,0,0,0.63,1.69,1.85,2.56,0,0,0.52,0,0.41,4.94,0,0.58,8.39,0,0,0,0,0,0,0,0,0.63
120,0,0,0,4.93,1.38,0,0,2.93,0,0,0,0,8.13,0,0,16.65,0,8.05,2.42,0,0,0,0,0,1.72
