stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,148.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0
  5-6,24.45,21.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.77,0,0,0,0,0,0,22.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.92,19.23,0,0,47.12,0,8.67,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.19,0,5.14,0,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.33,27.16,0,0,54.06,0,5.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.96,6.46,0,1.96,0,1.46,0,0.93,0,0,0,0,5.47,1.11,0,7.08,1.74,8.82,0,0,1.8,27.53,0.83,2.15,0,0,0,68.52,5.83,0,1.68,23.98,0,0,1.05,0,3.64
 24-34,0,0,2.51,0,5.47,0,0,7.71,0,2.56,0,6.04,1.35,0,2.16,1.5,17.61,0,1.36,0.6,10,8.07,2.63,0,1.02,141.54,2.86,4.48,9.04,0,2.91,424.63,8.92,0,2.11,38.6,0,0,21.78,0,0
 36-46,0,0,0,0.56,1.03,0,0,14.54,0,8.83,0,5.44,0,11.9,0,14.08,30.02,0,1,0,4.65,10.28,5.55,0,0.65,229.29,0.68,6.27,2.34,0,0,479.63,9.63,0,0,39.15,0,0,5.46,0,0
 48-58,0,0,0,0.43,7.6,0,0,43.16,0,2.48,1.43,37.3,0.43,8.05,1.13,7.86,6.31,0.64,0,1.29,5.52,26.41,7.52,1.16,3.55,199.45,0.53,7.6,18.5,0,0,296.95,2.39,0,0,47.6,0,0,7.7,0,0
 60-70,0,0,0,0,8.6,0,0,68.47,0,4.85,0,77.4,0,5.85,1.77,3.01,4.84,2.33,2.84,0,25.71,29.25,4.95,0.89,3.12,212.66,0.66,1.34,12.69,0,2.16,283.88,21.65,0,0,28.84,1.44,0,14.61,0,1.88
 72-82,0,0,1.26,0,12.88,4.4,0,96.57,0.79,7.72,0,125.51,2.09,2.01,1.41,6.1,7.09,0,6.33,0,3.58,43.22,15.02,7.76,9.19,219.69,0.58,6.99,27.4,0,0,215.77,4.96,0,0,5.97,4.74,3.89,11.98,1.43,0
 84-94,0,0,0,0,30.2,5.13,0,105.36,0,8.9,0,82.88,5.85,0.91,0,6.54,14.57,0.6,3.11,0,8.25,35.34,17.21,3.82,4.71,210.86,2.2,3.7,41.52,0,1.31,501.87,4.46,0,0,19.95,3.71,1.96,16.17,6.24,0
 96-106,0,0,0,0,20.72,8,0,124.4,0,8.72,0,82.63,11.75,0,4.71,10.27,14.09,2.24,6.05,8.32,0,43,32.55,2.54,0,176.1,0.75,8.67,45.14,0,1.16,404.08,4.2,0,0,9.59,12.57,1.58,23.13,1.5,0
108-118,0,0,0,0.61,47.62,0,0.5,63.68,0,13.95,1.79,89.36,19.38,0,0,13.76,14.11,6.54,7.09,10.05,6.96,24.58,13.75,1.69,4.15,132.25,0,17.05,35.74,0,0,360.85,5.52,0,0,12.62,4.74,4.91,16.56,0.83,2.08
120,0,0,0,0,144.96,0,0,40.35,0,6.08,0,18.37,17.49,0,0,39.88,3.78,1.01,13.51,10.17,0,27.62,9.97,0,2.4,339.02,0,1.99,36.67,0,2.67,304.16,16.56,1.6,0,1.7,5.14,0,19.32,0,0
