stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,mucous,muscle,neural,periderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1.12,0,0,11.07,0,0,19.34,0,0
 24-34,0,0,0,0.63,0,0,0,0,0,0,0,0,0,26.9,0.78,0,16.35,0,0
 36-46,0,0,0,18.22,0,0,4.03,0,0,0,0,0,0,28.21,0,2.13,25.28,0,0
 48-58,0,0,0,24.4,0,0,0.49,0,0,0,1.33,0,0,27.74,0,0,12.07,0,0
 60-70,0,0,0,63.41,0,0,2.09,0,0,0,1.38,0,0,35.72,0,0,12.28,0,0
 72-82,0,0,0,381.49,2.26,1,21.7,0.81,0,0,11.13,0,0,29.24,0.81,0,1.7,0,1.14
 84-94,0,1.74,0,275.16,0,0,5.08,0,0,0,17.66,1.51,0,49.4,0,0,0,0,0
 96-106,0,1.56,0,567.03,0,0,4.53,0.82,0.77,6.49,6.7,0,3.95,22.51,0,0,0,0,0
108-118,0,0.71,3.96,484.15,0,1.78,1.08,0,0,0,16.05,0,0,58.15,0,0,6.34,1.11,0
120,10.41,4.14,0,581.39,21.39,10.02,17.63,0,0,0,16.42,0,0,41.37,2.88,0,0,0,0
