stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.61,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0
  5-6,9.31,36.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,4,0,0,9.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,1.42,0,0,0,0,0,0,2.23,0,2.53,1.87,0,0,1.08,0,0
 24-34,0,0,0.68,0,2.22,0,0,0,1.82,0,0,0,0,0,0,0,6.77,0,1.71,25.64,0.62,0,0,0,0,0,0,0,1.23,1.43,0,0,4.43,0,0
 36-46,0,0,0,0,0.93,0,1.42,1.53,0,0,0,0,0,0,0,0,16.34,0.68,1.5,22.94,1.81,1.44,0,0.97,7.68,0,0,0,0,3.74,0,0,3.49,0,0
 48-58,0,0,2.61,0,5.49,0,0.46,2.44,0,1.64,0,0,0,0,0,0.99,13.14,0,2.33,19.95,0.39,0.42,0,0,0,0,0,0.53,0,1.21,0,0,1.46,0,0
 60-70,0,0,0,0,13.58,2.9,0,6.27,0,2.38,0,0,0,0,0,0,40.27,1.82,0.91,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0.93,0,0
 72-82,0,0,0.75,1.09,6.11,0,0,3.85,0,0,0.68,0,0,0,0,0,34.45,3.27,3.15,7.17,0,1.16,0,0,0,0,0,0,0,0,0,1.36,12.33,0,0
 84-94,0,0,2.44,0,11.36,0.56,0,9.33,0,0,0,0,0,1.32,3.42,0,31.73,1,0,9.87,0,0,0,0,0.92,0,0,0,0,0,0,0,14.3,2.19,0.74
 96-106,0,0,3.38,0,14.41,1.03,0,12.08,0.57,0,0,0.56,2.77,0,0,0,40.66,0,3.93,6.59,0,0,0,0,0,0,0,0,0,0,0.8,0,3.92,1.22,0
108-118,0,0,1.89,1.19,11.98,0.42,0,4.85,0,0,0,0,0,0,3.32,0,37.59,1.9,0,9.9,1.74,0.51,0,0,0.49,0,0,0,0,1.57,0,0,8.6,0,0.91
120,0,0,10.1,0,14.56,1.42,1.44,27.55,0,0,0,2.23,0,0,5,0,14.24,0,1.11,9.28,3.58,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0
