stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0
  5-6,42.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21,4.58,0,4.17,0,0,0,0,0,0,0,0,0,0
 10-12,4.6,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,11.75,0,0,0,0,0,0,0,0.84,0,0,0,83.4,0,0,0,0,0,0,0,0,77.35,0,0,0,0
 24-34,0,0,2.6,0,8.1,0,0,17.93,0,0,0,0,0,0,0,8.56,0,0,5.04,1212.69,0,0.79,0,0,1.36,0,0,0.75,464.76,0,0,0,0
 36-46,0,0,2.64,0,5.41,0,0.57,47.1,0,0,0,0,0,0,0,11.58,0.56,7.36,5.11,2334.71,0,2.6,0,0,1.02,0,0.64,0,639.89,0,0,0,0
 48-58,0,0,3.44,0,62.69,8.61,0.46,62.49,0,0,0,0,0,0,0,19.5,0,2.85,4.39,2777.93,0,6.08,0,0,0,0,0,0,629.96,0.84,0,0,0.63
 60-70,0,0.91,3.34,0,41.26,0,0,60.49,0,0,0,0,0,0,0,79.02,0,1.8,4.93,3288.24,0,0.91,0,0,0,0.93,0,0,384.95,8.57,0,2.39,0
 72-82,0,0.64,1.49,4.87,53.2,0,0,31.86,0,0,0,0,1.42,0,2.32,69.96,0,1.01,5.5,3081.02,0,7.25,0,2.89,0,0,0,0,165.64,3.65,1.74,1.23,0
 84-94,0,2.22,2.54,0,101.79,0,0,37.98,0,0,2.02,0,0,0.69,0,33.06,0,0.82,6.18,1561.55,0,8.76,0,0,3.31,0,0,0,93.5,6.61,0,2.62,0
 96-106,0,0,9.33,0,28.57,0,0,16.19,0,0,0.64,0,0,0,0,18.02,0,4.51,0.89,1171.28,0,7.09,0,4.1,0,0,0,0,36.31,2.03,0,4.48,9.96
108-118,0,0,0.93,0,23.68,0.54,1.28,38,0,0,1.5,1.01,9.73,0,0,26.71,0,0,0,1087.7,0,16.62,0,2.34,0,0,0,0,27.24,0,0.55,6.52,0
120,0,0,23.46,0,21.17,0,10.14,82.52,3.86,0,20.69,3.6,0,0,0,9.73,0,0,3.16,3294.72,0,4.64,0,5.08,0,0,0,0,55.96,0,19.34,15.92,0
