stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,22.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.15,0,0,0,0,0,0,0,0,0,0,0,0,31.89,0,0,14.94,19.06,0,0,0,0,0,0
 10-12,3.34,0,0,0,0,0,0,0,0,0,0,0,0,38.82,0,0,53.38,3.3,0,0,0,0,0,0
 14-21,0,2.21,0,0,0,0,0.95,0,2.55,0,0,0,0.98,8.84,0.82,1,0,244.51,0.9,0,1.16,0,0,0
 24-34,0,5.84,0.62,0,0.74,0,0,0,4.98,0,1.74,3.01,0,44.12,0,1.18,0,435.74,0,2.19,6.44,0,0,0
 36-46,0,0.67,1.04,2.61,3.1,0,0.63,0,1.54,6.19,1.18,0,7.02,40.93,0,1.67,0,415.05,0,0,9.05,0,0,3.23
 48-58,0,5.5,11.09,0,1.84,0,0.45,0,0,0,1.27,2.35,0,17.42,0,0,0,221.87,0,0,9.18,0,0.55,0
 60-70,0,15.89,9.13,0,3.16,0,1.31,0,0,0,2.59,0,0,10.93,0,0,0,214.86,0,0,1.09,0,0,8.49
 72-82,0,16.66,11.35,0,3.27,3.22,4.36,0,0,0,1.17,2.75,0,30.37,0,0,0,138.87,0,0,3.55,0,0,2.01
 84-94,0,16.79,15,0,5.08,0.67,0,0,5.14,0,5.08,2,0,10.03,0,1.88,0,401.72,0,0,0,0.63,0,0
 96-106,0,56.77,7.64,0,6.38,0,6.1,2.83,8.95,0,0,4.78,0,20.52,0,0.59,0,417.74,0,0,0,0,0,10.74
108-118,0,40.06,5.8,0,21.95,0.48,0,8.18,10.07,0,4.69,8.43,0,22.23,0,0.94,0,404.84,0,0,0,0.56,0,0
120,0,67.1,15.41,0,27.82,0,0,11.84,6.08,0,5.48,2.05,0,31.83,2.06,2.2,0,320.54,0,0,0,0,0,0
