stage,eye,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,53.88,0,18.93,3.89,0
 10-12,0,0,34.3,4.45,23.12,3.3,0
 36-46,0,0,0,0,0,0,0.96
 72-82,0.72,0,0,0,0,0,0
 84-94,0,2.21,0,0,0,0,0
