stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,27.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.06,0,0,0,0,0,0,0
 14-21,0,1.45,269.98,0,0,0,0,0,0,0,0,8.27,0,0,0,0,1.02,0,0,0,0,0,1.68,0,0,0,0,0.89,0,2.29,0,0,0,264.87,0,0
 24-34,0.83,1.43,73.18,0,1.74,0,0,0,0,0,0,88.74,0,0,0,0,9.2,0,2.4,0,0,0,48.94,0,0,0,0,0,2.28,1.4,4.21,0,0,1533.92,0,0
 36-46,0,1.12,5.7,0,1.41,4.15,0,0,0,0,0,80,0,0,0,0,0,1.09,10.02,0,0,0.84,51.05,0,0,0,0,0,0,0,0.7,0,0,1085.9,0,0
 48-58,0,0,4.99,0,5.09,0,0,0.4,0,0,0,104.03,0,0,0,0,0,0,9.92,0,1.33,1.2,45.13,0,0.91,0,2.96,0,0,0,1.32,0,0,1087.91,0,0
 60-70,0,0,2.27,0,7.67,0,0,0,0,0,0,72.89,2.8,0.71,0,0,0,0,15.3,0,0,5.18,43.36,0,0,0,0,0,0,0,0,0,0,773.19,0,0.99
 72-82,0,1.86,11.37,0,15.05,0,0,2.26,0,5.52,0,160.52,0,0,0,0,0,0,28.55,0,2.06,5.91,75.72,0,2.86,4.13,0,0,0,0,9,0,7.19,1477.55,1.18,4.66
 84-94,0,4.96,0,0,10.7,0,5.31,2.32,0,2.21,0,97.91,0,0,0,0,0,0,24.75,0,0,2.27,10.99,0,0,0,0,0,0,0,0,0,5.76,1596.64,0,0
 96-106,0,27.91,32.75,0,25.2,0,0,5.12,0.61,0,0,143.49,1.74,0.85,0.63,0,0,0,43.76,0,4.72,0.89,34.68,0.57,0.71,0,1.45,0,2.01,0,0,1.44,4.5,1861.27,2.62,0
108-118,0,19.1,19.54,1.49,22.92,0,1.14,0,5.74,0,0,37.27,0,0.44,0,0,1.81,0,58.77,2.3,3.47,10.6,35.71,0,0,0,0,0,4,0,0,1.13,10.73,1625.24,1.79,0
120,0,22.91,48.46,0,5.52,0,0,0,4.48,11.27,15.61,115.29,0,0,0,1.12,0,0,34.74,0,0,3.79,65.3,0,0,0,0,0,0,0,0,0,11.26,1679.3,0,7.26
