stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.19,170.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.52,467.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.38,0,0,0,0,0,0,0
  7-9,7.04,0,27.19,0,0,0,23.01,0,0,0,0,0,8.64,0,0,0,0,0,0,0,360.21,13.86,0,0,62.58,8.35,0,0,0,0,0,0,0
 10-12,0,4.29,9.39,0,0,0,19.52,0,0,0,0,0,8.6,0,0,0,0,0,0,0,204.77,4.59,0,0,43.7,0,0,0,0,0,0,0,0
 14-21,0,0,6.23,6.71,6.89,0,3.47,0,0,0,0,0,0,0,0,0,0,5.11,0,2.81,51.18,1.57,0,0,1.75,0,9.21,0,15.69,6.72,0,0,0
 24-34,0,0,0,0.65,0,0,3.11,0,0,0,0,0,0,0,0,0,0,3.39,0,2.31,18.63,0,0,0,0,0.62,0,0,2.33,4.22,0,0,0
 36-46,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,1.16,18.28,0,0,0,0,0,0,0,0,3.7,0,0,0
 48-58,0,0,0,0.78,0,0,4.89,0,0,0.53,0.8,0,0,0,0,0,6.01,7.43,0,3.04,34.13,0,0,0,0,0,0,0,0,1.59,0,2.13,0
 60-70,0,0,0,0,0,8.61,3.91,0,0,0,10.32,0,0,0,0,0,4.22,0.68,0.69,0,39.87,0,0,0,0,0,0,0,0,3.77,0,0,0
 72-82,0,0,0,0,1.11,0,4.6,0,0,2.06,5.48,0,0,0,0,0,68.1,7.82,0,0,12.72,0,0,0.7,0,0.49,0,0.64,0,0.58,0,1.77,1.88
 84-94,0,0,0,0,0,0,18.07,0,0,1.14,2.24,0,0,0,1.03,0,309.26,2.81,0,0,21.89,0,0,0,0,0.65,0,0,0,0,0,0.62,0
 96-106,0,0,0,1.99,0,0,6.97,0.64,0,0,0,2.96,0,0.65,0,0,469.48,9.03,0,0,59.78,0,0,0,0,5.38,0,0,0,0,0,9.92,11.07
108-118,0,0,0,1.06,2.63,0.43,22.71,0,0.42,0.65,7.59,0.46,0,0,0,0.84,1203.5,19.11,1.05,1.58,64.81,0,0,0.86,0,5.1,0,0,0,4.27,0,0.83,3.36
120,0,0,0,0,1.14,0,10.08,0,0,0,6.38,1.14,0,1.26,0,0,567.67,0,0,1.58,89.38,0,1.61,0,0,3.84,0,0,0,0,10.44,2.03,0
