stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.29,0,0,0,0,0.92,0,0,0,0,0,0,0,0,9.07,0,0,0,0,0,2.15,0,8.21,0,0,0
 24-34,0,0,0,6.05,0,2.08,0,0,0,0,0,1.19,0.71,0,0,90.71,0,0,0,0,0,0,0,18.53,0.6,0,0
 36-46,0,0.68,0,17.72,0,5.78,0,0,0,0,0,0,4.2,0,0.58,235.83,0,0,0,0,1.57,0,0,43.83,0,0,0
 48-58,0,0,0,29.76,0.67,10.06,0,0,4.05,0,0,0,3.91,0,6.62,304.55,0,0,0,0,0,0,0,63.56,1.26,0,0.6
 60-70,0,3.28,0,81.19,0.89,9.6,0,0,1.2,0,0,0,4.3,0,4.58,447.46,0,0,0,0,3.64,0,0,82.3,0,0,3.65
 72-82,0,5.01,0,102.82,0,6.42,0,2.56,0,0.74,1.68,0,10.3,0,0,477.7,0,1.78,0.58,0,0,0,0,78.2,0.49,1.73,0
 84-94,0,0,0.99,63.26,0,1.7,0,0,2.31,0,0,0,5.24,0,1.49,308.56,0,0,0.57,0,0,0,0,44.2,0,0,0
 96-106,0,2.25,2.32,118.21,1.62,13.61,2.48,2.3,0,0,0,0,6.15,0.75,0.92,455.05,0,4.94,4.97,0,0,0,0,18.44,0,3.05,0
108-118,0.52,3.07,0.72,124.57,1.16,5.06,0,0,8.88,0.6,0,0,3.4,0,1.36,367.48,6.93,0,1.16,1.19,2.1,0,0,8.97,0,0,0
120,0,3.24,0,45.55,0,0,0,1.61,0,0,0,0,4.43,2.47,2.55,589.54,0,0,0,2.76,0,0,1.04,28.63,0,0,0
