stage,blastomeres,epidermis,erythrocytes,eye,gut,heart,immune,liver,mesenchyme,neural,otic,periderm,spinal_cord
  5-6,23.44,0,0,0,0,0,0,0,0,0,0,7.22,0
  7-9,0,0,0,0,0,0,0,0,0,3.91,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.84,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.28,0,0,0
 24-34,0,0,0,0,0,1.92,0,0,0,2.23,0,0,0
 36-46,0,0,0,0,0,0,3.99,0,0,4.08,0,0,0.99
 48-58,0,0,0,0,0,0,0,0,0,4.37,0,0,1.41
 60-70,0,0.9,0,3.31,0,0,0,0,0,2.48,0,0,2.08
 72-82,0,2.12,0,0,0.63,0,0,0,0.92,0,0.99,0,0
 84-94,0,6.96,0,4.03,0,0,0.79,0,1.3,2.02,0,0.94,0
 96-106,0,15.64,0,12.65,4.41,1.33,0,0,2.53,0,0,0,0
108-118,0,13.69,0.47,0,2.45,0,0.54,1.1,0,4.66,0,0,0
120,0,18.05,0,0,0,0,0,0,0,15.92,0,5.03,0
