stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,65.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.76,0,0,0,0,0,28.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.11,9.02,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.14,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.92,5.7,0,0,65.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.6,0,4.01,0,0,0,2.29,0.81,0,0,0.92,0,0,0,3.95,0,0,2.31,46.4,0.88,0,0,0.85,0,0,9.6,0.82,0,12.26,12.35,0,0,0.84,0,0
 24-34,0,0,0,0.61,1.07,0,3.1,0,0,3.36,0,0,0,0.88,0,0,0,0,5.69,0,0,1.36,57.11,0,2.17,0,0,0,0.72,0,0,0,2.41,22.15,0,0,2.92,0,0.61
 36-46,0,0,0,0,0,0,10.92,0,0,1.38,0,0,0,0,0,0.91,0,7.71,3.25,0,0,1.33,64.11,0,3.8,0,0,0,4.16,0,0,0,0,15.99,0,0,0,0,0
 48-58,0,0,0,0,2.58,0,9.33,0,0,3.34,0,0,0.69,0,0.38,0.44,0.56,0,7.73,0,0.71,2.63,66.14,0,0.91,0,0,0,8.99,0,0,0,0,11.79,0,0,0.45,0,0
 60-70,0,0,0,0,0.6,0,9.29,0,0,3.27,0,0,0,0,0,0,0,0,18.98,0,0,2.84,35.72,0,0,0,0,0,19.34,0,0,0,0,3.52,0,0,1.75,0,0
 72-82,0,0,0,0,0.57,1.47,21.77,0.5,0,8.12,0,0,0,0,0,0,0,0,11.98,0,0,2.8,32.51,0,0,0.88,0,0,0,0,0.66,0,0,6.54,0,0.61,2,0,12.73
 84-94,0,0,1.48,0,2.39,3.1,26.24,1.37,4.6,14.73,0.73,0,0,1.55,0.99,2.41,0,0.86,17.19,0,0,3.12,47.73,0,3.18,3.38,0,0,18.16,0,0,0,0,5.34,0,0,2.66,0.61,2.83
 96-106,0,0,0,0,7.52,0,18.71,0,0,5.6,0,0,0,0,0.65,2.52,1.64,0,14.08,0,0,2.82,35.09,0,1.44,1.34,0,1.61,5.05,0,0,0,0,5.31,0.83,0,3.01,0,0
108-118,0,0,0,0,2.22,0,23.49,0.56,1.03,9.04,0.47,0,0,0.44,0,3.13,0.69,0.84,18.14,1.57,0,4.09,88.47,0,1.61,1.04,0,0,8.61,0,0,0.43,0,1.68,0,0,0.46,0.44,0.62
120,0,0,0,0,2.74,0,12.69,0,0,10.4,0,0,0,0,0,0,1.11,0,27.63,0,0,0,61.76,0,1.32,0,0,0,3.88,0,0,0,0,7.79,0,0,4.78,0,0
