stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,22.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,100.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0
  7-9,12,0,0,22.8,0,0,10.49,0,0,0,0,0,0,107.24,14.95,0,18.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.32,0,0,0,0,0,0,0,0,0,624.83,0,0,27.05,0,0,0,0,0,0,0,0,0
 14-21,0,20.27,4.59,1.3,0,0,0,0,0,0,0,0,4.03,12.47,1.65,609.06,1.12,0,1.22,2.03,1.72,3.84,5.44,0,0.97,0
 24-34,0,0,0,0,0,0,0,0,0,0.98,1.33,0,1.49,6.48,0,4.48,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.56,0,0,1.2,6.88,0,7.75,0,0,0,0,0,0,1.75,0,0,0
 48-58,0,0,0,0.51,0,0.93,0,0,0,3,0,0,0,6.5,0,0.4,0,0,0,0,0,0,1.21,0,0.66,0
 60-70,0,0,0,2,1.54,0,0,0,0,3.94,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.79,0,0,0,0,0,12.97,0,0,0.5,0,0,1.72,0,0,0,0,0,0,1.12,0,0,0
 84-94,0,0,0,1.04,1.14,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.67,0,1.86,0,0,0,0,0,0,0,0,0,0,0,1.68,1.23,0.93
108-118,0,3.35,0,1.79,0.43,0,0,1.42,1.09,3.32,1.96,0,1.39,1.46,0,1.77,0,1.15,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,21.94,0,13.74,0,0,0,2.92,0,0,0,0,0,0,0,0,0,0
