stage,fast_muscle,heart,mesenchyme,muscle,neural,somites
 14-21,0,0,0,2.13,1.15,2.97
 24-34,0,0,0,0.81,0,1.73
 36-46,0,0,1.19,1.91,0,0
 48-58,0,0,1.2,0,0,0
 60-70,0,0.66,0,0.61,0,0
120,1.18,0,0,0,0,0
