stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.84,44.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0,0,0,0,0,0,0
  5-6,17.5,185.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.4,0,3.85,0,0,0,22.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.64,0,0,0,13.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.5,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.77,0,0,0,6.49,0,0,0,0,8.74,0,0,0,0,0,0,0
 14-21,0.89,0,0,9.45,18.16,23.09,0,14.38,0,0,0,0,10.23,0,0,0,0,0,0,0,0,4.99,0,5.57,140.89,2.19,1.09,1.99,4.68,0,0,0,8.17,56.32,0,7.32,39.01,0,0,0,0
 24-34,0,0,1.26,10.39,3.08,3.73,0,29.66,0,0.68,0.92,4.77,11.78,0,0,0,0,0,0,1.53,0,30.69,0,4.91,422.46,2.65,1.41,3.22,0,0,0,0,0,52.19,0,3.24,117.5,0,5.7,0,0.69
 36-46,0,0,0,0,8.65,0,0,89.13,0,0,0,15.01,4.85,0,0,0,0,0,0,4.27,0,35.64,0,4.14,607.13,3.24,2.69,0.82,0,0,2.12,0,0,38.48,0,0,122.95,0,5.38,0,0
 48-58,0,0,0,0.63,10.46,2.77,0,185.59,0.38,0,0.45,31.37,3.5,0,0,0,5.91,0,0,1.23,0,51.24,0.54,13.44,478.35,0,1.59,2.49,0,0,0.79,0,0,14.5,0.46,0,101.87,0,4.43,0,3.48
 60-70,0,0,0,0,1.13,0.73,0.74,214.09,0,0,1.34,19.71,2.32,0,0,0,0,0,0,7.38,0,22.64,0.76,1.94,461.22,0,0,0,0,1.22,3.34,0,0,31.7,0,0,62.9,0,2.02,0,0
 72-82,0,0,1.78,0,9.68,6.64,10.95,129.9,0,0,2.7,20.89,6.41,0,2.04,0,0.68,0,0,18.61,0,40.16,9.67,6.41,310.71,0,0,0,0,0,0.51,0,0,12,0,0,8.43,0.67,3.89,1.72,2.51
 84-94,0,0,0,0,0.66,5.45,22.92,96.08,0.75,0,1.27,25.23,24.83,1.23,0,4.87,0.68,0,0,21.62,2.16,26.55,1.44,6.1,235.46,0,0,0,0,0,4.95,0,0,29.73,0,0,14.19,0,3.11,1.06,0
 96-106,0,0,0.63,0,3.24,36.66,45.49,42.58,0,0,4.21,24.78,25.65,0,0,1.05,0,0,0,47.7,0,31.83,0,10.6,168.27,0,2.37,3.41,0,2.56,2.76,0,0,20.97,0,0,23.77,0,4.05,0,0.72
108-118,0,0,1.95,0.61,6.05,23.48,60.02,34.6,0,0,3.77,7.65,29.21,0,0,0.46,0.64,3.94,0,79.01,0,50.54,0,4.41,137.24,0.43,0,2.99,0,2.11,0.88,0,0,19.52,0,0,0,0,0.5,0,0
120,0,0,8.41,0,1.31,19.32,30.76,12.53,0,0,4.33,6.68,20.88,0,0,0,0,0,2.13,49.61,0,23.54,0,7.38,166.31,0,0,0,0,0,0,2.5,0,27.84,0,0,2.78,0,0,0,0
