stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,144.27,0,0,0,0,0,0,0
 10-12,6.05,5.91,0,0,0,0,0,0,0,0,0,6.8,0,0,113.3,0,0,0,0,0,0,0
 14-21,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26,0,0,0,0,0
 24-34,0,0,4.26,0,0,0,0,0,0,0.79,0.88,3.05,13.45,0,0,0,0,0,4.74,0,7.64,0
 36-46,0,0,6.64,0,0,0.64,0,0,0,0,0,13.61,17.53,0,0,0,0,0,12.77,0,0,0
 48-58,0,0,6.6,0,6.28,0,0,3.98,0,0.38,0,22.05,24.7,0.38,0,0,0,0,18.4,0,1.98,0
 60-70,0,0,1.1,0,0,0,0,6.88,0.63,5.11,0,16.19,14.51,0,0,0,0,0,24.68,0.67,1.83,0
 72-82,0,0,1.52,4.89,0.52,1.12,0.89,7.46,0,12.33,0,20.56,14.95,0,0,1.41,0,0,13.48,0,1.15,0
 84-94,0,0,0.78,0,2.38,0,0,9.54,0,3.98,0,17.61,19.94,0,0,0,0,0,14.75,1.7,0,0
 96-106,0,0,2.95,0,1.07,3.64,0.71,17.88,0,6.3,0,28.13,2.87,0,0,1.47,0,0,5.1,0,4.48,0.81
108-118,0,0,0.52,0,0,0,0,11.83,0,12.58,0,56.49,8.37,1.04,0,0,0,2.25,5.51,1.53,1.9,0
120,0,0,0,0,0,0,0,23.93,0,2.05,0,46.92,8.14,0,0,0,0,0,4.36,0,0,0
