stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,21.28,0,0,0,0,0,0,0,0,0
 14-21,0,1.38,0,9.63,1.65,0,0,0,0,10.86,0,0,0,1.03,0,1.93,0,3.83,14.99,0,9.13,3.04,0.9,0,2.74,12.4,0.86,18.44,51.6,1.35,0,0
 24-34,0,0,0,9.49,0,4.54,0,0,0,22.4,0,0,0,0.62,0,8.46,0,10.86,144.61,0.64,59.17,4.08,0,0,0,5.24,0,1.73,92.92,17.06,0,0
 36-46,0,0.95,0,22.21,0,5.51,0,0,0,15.06,0,0,0,0,0,16.08,0,1.4,221.65,0,38.49,1.46,0,8.39,0,17.98,0.62,0,58.21,1.36,0,0
 48-58,0,0,0,5.24,0,18.67,0,0,0,19.59,0,0,0,0,0.89,12.94,0,0.87,238.93,0,36.45,1.78,0,2.75,0,2.27,0,0,100.14,7.45,0,0
 60-70,0,0.91,0,0.69,0,31.94,0,0.68,0,19.03,0,0,0,0,1.76,6.92,0,4.1,160.36,0,25.07,2.32,0,0,0,4.67,0,0,76.11,1.11,0,0
 72-82,0,2.8,0,3.94,0,41.14,2.27,0,0,30.73,0.93,0,0,0,4.73,35.68,0,4.07,197.46,0,56.98,5.81,0,0,0,4.56,0,0,46.06,0,0,0
 84-94,0,1.18,0,8.51,0,22.08,0,0.67,0,18.77,1.46,0,0,0,0,3.08,0,1.02,99.56,0,55.92,9.01,0,7.21,0,3.22,0,0,27.71,0,0,0
 96-106,0,1.04,1.07,7.62,0,23.76,0,1.68,0.92,11.42,3.55,0,1.18,0,10.72,23.56,0.69,1.6,106.21,0.7,77.2,11.05,0,0,0,1.91,0,0,12.58,6.86,0,0
108-118,0,2.24,1.06,6.24,0,25.32,0.45,2.31,0.62,11.14,6.02,3.23,0.75,0,1.41,16.75,8.34,0,94.84,0.54,65.43,12.98,0,0,0,1.25,0,0,9,0.6,0.57,1.42
120,0,0,0,12.87,0,27.95,0,0,0,43.08,0,0,0,0,0,13.7,0,0,169.26,0,78.05,26.74,0,0,0,5.04,0,0,10.82,1.44,0,0
