stage,endoderm,glial,neural,notochord,pericytes,spinal.cord
 36-46,0,0,0,0.61,0,0.66
 48-58,0,0,4.19,0,0.45,0
 60-70,0,0.95,1.04,2.21,0,0
 72-82,0,0,3.69,0,0,0
120,3.17,0,0,0,0,0
