stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,32.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,0,14.11,0,0,0,0,0,0,0,0,0
 10-12,7.56,93.6,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,243.04,0,0,0,183.11,0,0,13.46,0,24.88,0,0,0,0
 14-21,0,78.98,29.44,0,0,18.55,0,0,1.75,10.21,0,0,0,0,0,21.16,7.11,0,0,7.29,37.18,1.85,0,0,0,0,2.54,1.75,18.5,37.7,12.19,0,0,0
 24-34,0,4.99,4.35,0,0,27,0,0,2.95,0,0,0,0,0,0,36.48,6.88,1.69,0,0.77,57.62,0,0,0,0,1.55,0,7.93,0,0,19.71,0,0,0
 36-46,0,2.09,2.16,0,0,41.85,1.77,0,0.79,0.66,0,1.51,0,0,0,0.67,5.09,0,0,0,16.07,0,0,0,0,0,0,0.7,0,0,7.86,0,0,0
 48-58,0,0,2.83,0,0,176.47,0,0,12.32,0,0,0,0,0,0,0,9.4,0.6,0,2.26,30.66,0,2.22,0,0,7.49,0,3.72,0.4,0,5.34,0,2.25,0
 60-70,0,0,19.65,0,0,108.51,1.2,2.61,39,3.09,0,0,2.05,1.4,0,0,3.5,0,0,0.6,5.81,0,0,0,0,16.2,0,7.52,0,0,11.11,0,1.31,0
 72-82,0,0,16.75,0,0,60.18,0.49,0,51.59,1.34,0,0,0,1.73,0,1.8,18.79,1.8,0,1.48,11.32,0,0,0,0,40.59,0,5.61,0,0,1.85,0,0.49,0
 84-94,0,0,40.06,0.71,0,43.08,0,0,26.38,0.73,0,0,0,0,0,0,29.91,1.05,2.55,0,13.55,0,0,1.34,0,154.72,0,27.05,0,0,0,0.58,0.8,0
 96-106,0,0,71.55,7.82,0,58.54,0,0.86,34.35,2.87,0,0,0,0,5.85,4.61,31.83,0,0,0,19.31,0,0,0,0,214.6,0,31.97,0,0,4.39,0,4.92,0.89
108-118,0,0,94.82,6.17,1.08,28.13,1.93,2.87,28.76,1.37,0,0.74,0.62,0.72,0,0.87,25.84,0.55,0,0,11.09,0,0,1.62,0,239.02,0,24.45,0,0,0,0,0,0
120,0,0,102.84,0,0,29.4,0,6.06,0,15.48,0,0,0,0,0,7.42,27.27,0,0,0,0,0,0,1.12,0,127.89,0,25.4,0,0,1.81,0,0,0
