stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,11.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.8,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,21.48,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.08,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,1.02,0,0,0,0
 24-34,0,1.31,1.74,3.83,0,0,0,6.53,0,0,3.24,0,0.6,1.96,0,0,0.61,0.7,0,0,17.53,0,0,0,0,0,0,0,2.59,0,0,0,0
 36-46,0,1.4,0,5.49,0,0,0,7.08,0,0,4.81,0,0,0,0,0.62,0,0,0,0,14.5,0,0,0,0,0,0,0,6.76,0,0.88,0,0
 48-58,0,0.49,0.42,0,0,3.15,0,3.17,0.42,0,7.84,0,0.49,0,0,1.16,0.86,0,0,0.99,26.69,0,0,0,0,0,0,0,5.71,0,0,0,0.48
 60-70,0,4.81,0,0,0,0,0,3.17,0,0,27.41,0,0,0,0,0,0,0,0,0,1.01,0,0.58,0,0,0,0,0,0,0,0,0,0
 72-82,0,28.42,0,3.65,2.75,1.97,0,4.72,2.52,1.88,87.18,0,0,0,2.49,10.72,5.3,1.23,1.83,0,53.24,1.28,0,0,0,0,0,0,5.01,7.57,2.87,0,0
 84-94,0,29.22,0.79,1.55,0,8.81,0,2.25,2.3,1.11,177.02,0,0,0,0,0,0.68,0,0,0,16.33,1.11,0,0,0,0,0,0,0,7.69,0,0,0
 96-106,0,19.94,0,10.7,0,14.75,0,3.57,0,3.66,197.86,0,0,0,0,0,4.2,6.46,0,0,34.23,0.6,1.09,0,1.94,0.94,0,0,5.17,19.83,2.11,2.01,0.8
108-118,0,23.3,0.77,6.02,1.38,1.34,0,4.95,0,1.54,207.02,0,0,0,0,2.21,9.72,5.95,0,0,37.85,0,0,0,0,0.67,2.63,0.67,1,22.41,1.69,0,0
120,0,8.67,3.17,15.84,0,9.3,2.29,3.55,0,0,173.84,0,0,0,0,0,15.55,0,0,0,53.31,1.61,0,0,0,0,0,0,0,14.56,0,0,0
