stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,27.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.37,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,19.43,0,0,0,9.31,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,25.12,7.88,0,0,17.71,0,0,0,85.82,0,0,3.51,0,0
 14-21,0,1.65,0,138.54,0.83,0,0,0,0.92,0,1.07,0,0,0,0,0,3.89,0,0.82,30.66,1.03,0,0,0,0,0,9.14,12.64,1.91,6.15,3.09,0,44.05
 24-34,0,0.59,0.69,26.36,2,0,0.68,7.65,0,0,3.78,0.77,0,0,10.46,0,13.34,0,6.27,80.55,7.22,0.78,0,0,0,0,0,1.59,0,0,10.96,0,146.25
 36-46,0,1.13,0,17.51,7.27,0,2.42,1.82,0,0,10.48,8.43,0,0,0,0,9.57,0,6.06,32.2,6.87,0,0,0,0,0,0,0,0,0,20.12,0,116.47
 48-58,0,0,0.48,17.15,17.75,0,1.11,3.75,0,0,22.81,2.39,0,0,2.22,0,14.58,0.4,2.13,28.89,6.84,0.77,0,0,0,3.82,0,0,0,0,3.54,0,121.58
 60-70,0,0,0,15.28,15.51,0,12.05,0,0,0,10.83,6.16,0.71,1.55,0,0,9.59,0,1.07,33.52,1.27,0,0,0,1.13,6.76,0,0,0,0,1.35,0.63,97.36
 72-82,0,0,0.51,76.26,24.75,0,4.1,2.81,0,0,18.26,2.46,0,0.59,0,0.6,9.48,1.51,3.62,49.39,0,0,0.61,0,0,0,0,0,0,0,0,3.72,170.61
 84-94,0,0,1.94,108.5,11.21,0,0.7,4.22,1.68,0,8.1,14.39,0,0,0,4.04,14.15,0,0,18.69,2.48,0,0,0,0,0,0,0,0,0,0,3.49,181.03
 96-106,0,0,1.43,104.24,14.06,1.13,0,18.49,1.1,0,18.84,12.38,0,0,0,0,26.24,0,0,17.96,3.32,0,1.13,0,0,6.56,0,0.9,0,0,0,2.38,186.16
108-118,0,0,0.63,61.96,8.56,0,0,2.32,0,0,5.72,5.36,0.59,0,0,0.6,35.77,0.88,6.72,17.63,0,0,0,0,0,1.97,0,0,0,0,2.54,8.92,130.85
120,0,0,0,65.11,1.06,0,0,47.3,0,10.41,11.99,6.65,0,0,0,0,57.7,0,0,31.63,7.06,0,0,0,0,2.24,0,0,0,0,0,0,100.8
