stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  5-6,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,20.48,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,18.57,6.96,0,0,0,0,0,0,0.87,0,0.81,0,0,0,3.05,0,0,10.07,0,0,0,0,0,0,4.79,1.88,5.63,4.68
 24-34,0,0,2.06,0.89,0,0,0.72,0,0,1.89,0,0,2.56,0,0,0.69,7.67,0,1.7,71.87,2.57,0,0,0,0,0,0,0,8.54,91.41
 36-46,0,0,6.22,0,0,1.39,0,0,0,0,0,0,0,0,0,1.79,8.22,0,2.34,58.76,2.11,0,0,0,0,2.14,0,0,10.95,81.94
 48-58,0,0,0,0,0,13.77,1.09,0,0,0.86,0,0,0,0,0,0,38.99,0,3.09,50.16,0,3.34,0,0,4.41,0,0,0,11.94,76.45
 60-70,0,0,4.44,0,0,17.79,0,0,1.53,0.68,0,0,0,0,4.75,0,40.58,0,1.62,61.79,0,0,0,7.82,0,0,0,0,21.39,46.12
 72-82,0,0,1.65,0,0,9.31,0,7.4,0,5.6,0,0,0,0,0,0,39.89,0,1.24,100.93,0,0,0,2.48,0,0,0,0,14.96,46.85
 84-94,0,0,0,0,0,15.43,0,0,0,1.4,0,0,0,0,8.5,0,53.31,0,2.37,61.42,0.62,0,0,4.36,0,0,0,0,15.79,36.78
 96-106,0,0,2.74,4.6,0,9.76,0,0,0,3.65,1.02,0,0,0,6.07,0,42.29,0,1.59,45.32,0,0,0,0,0,0,0,0,2.67,42.63
108-118,0,0,0,0,3.05,11.32,0,0,0,4.25,0,0,0,2.39,24.78,0,33.16,0,0,115.84,0,0,0,8.24,1.23,0,0,0,3,16.56
120,0,0,5.48,1.28,0,0,0,0,0,19.7,0,0,0,2.71,28.43,0,45.08,4.59,0,180.52,0,0,10.96,0,0,0,0,0,2.02,47.22
