stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.35,42.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0
  5-6,14.1,243.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0
  7-9,0,9.62,8,0,0,0,17.72,0,0,0,0,6.73,0,0,0,0,114.78,0,40.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.44,0,19.19,0,0,0,0,5.49,0,0,0,0,165.71,15.68,40.21,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,2.72,0,0,1.01,0,0
 24-34,0,0,0,1.86,0,0,1.96,0,0,0,0,0,0,0,0.62,1.28,11.74,0,0,0,7.41,0,0,0,2.91,3.14
 36-46,0,0,0,3.32,1.06,0,5.11,0,0,0,0,0,0,0,0,0.78,25.06,0,0,0,27.38,0,0,0,6.59,1.33
 48-58,0,0,0,2.99,0,0,0,0,5.67,0.51,0,1.18,0,0,0,0,33.48,0,0,0,8.49,0,1.13,0,1.09,0
 60-70,0,0,0,1.1,0,0,19.75,0,0,0,0,0,0,3.71,0,12.65,10.12,0,0,0,9.42,0.6,2.15,0,1.55,0
 72-82,0,0,0,2.04,0,0,6.77,0.76,0,0.68,0,0,0,0,0,6.11,2.17,0,0,0,2.08,0,0,0,1.07,0.94
 84-94,0,0,0,0,0,0,8.17,0.69,0,0,0,0,0,0,0,6.07,7.13,0,0,0,4.28,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,1.56,0,0,0,0,1.05,0,0,0,0
120,0,0,0,4.96,0,1.58,17.16,0,2.34,0,1.09,0,2.56,0,0,0,11.26,0,0,5.46,0,0,0,0,0,0
