stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,1.41,0,0,0,0,0,0,0,0,0,0.87,14.43,0,0,0,0.94,0,1.86,0,1.62,4.73,0,0,0
 24-34,0.63,0,0,0,0,0,0,0.69,0,0,0.93,0,16.4,0,3.22,0.69,0,11.91,0,3.45,0,5.11,0,0,0
 36-46,0.73,0,0,1.44,0,0.78,0,0,0,0,13.62,2.22,15.75,0,1.8,0,0,8.6,0,0,0,2.34,0,0,0
 48-58,0.86,0,0,12.3,0,2.61,0,0,0,0,11.64,0,19.82,0,0,0,0,0.63,0,0.52,0,0,0,0,0
 60-70,0,0,0,4.16,0,4.78,0,0,0,0,3.92,0,7.85,0.66,0,0,0,0,0,0,0,0,0,0.8,0
 72-82,0,0,0,23.31,0,19.94,0,0,0,0.76,7.76,0,21.45,0,1.03,0,0,0,0,0,0,0,3.84,0,0.5
 84-94,1.91,0.72,0.59,13.79,2.86,8.95,0,0,0,0,14.56,0,14.53,0,0,0.95,0,3.62,0,0,0,2.77,0,0,0
 96-106,0,2.11,0,2.9,2.96,2.3,0.66,0.8,1.37,0,7.2,0,17.27,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.94,0,22.24,1.95,12.64,0.43,0,0.58,0,2.18,0,13.15,0,0,0,0,0,0,0,0,1.12,0,0,0
120,0,0,0,4.83,0,13.52,0,0,0,0,5.75,0,27.25,0,2.49,0,0,1.03,0,0,0,0,0,0,0
