stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,140.97,3098.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.3,0,0,0,0,0,0,0,0,0,0
  5-6,74.02,1037.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.23,4.3,0,26.09,0,0,0,40.07,0,0,0,0,34.51,0,0,0,0,0,0,0,0,0,0,427.13,21.63,0,0,275.31,0,0,23.78,0,0,0,0,0,0,0,0,0
 10-12,0,29.13,0,139.28,0,10.76,0,154.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148.65,28.61,0,0,408.39,0,0,15.86,0,71.06,0,13.15,0,0,0,0,0
 14-21,0,0,0,1.68,4.97,3.08,0,7,0,0,19.5,1.98,0,0.81,0,0,0,0,0,0,4.49,0,4.67,148.67,0,9.02,9.06,1.07,0,0,0.91,13.12,12.28,4.96,91.7,0,0,2.47,0,0
 24-34,0,0,0,0,2.22,0,0,19.27,0,0,6.73,0,1.4,0,0,0.62,0,2.42,0.76,0,12.17,0.82,10.52,206.69,0.81,15.41,3.86,0,0,4.71,0,0,17.39,3.4,92.45,0,0,6.4,0,0
 36-46,0,0,0,0,3.77,0,0,37.31,0,0,10.26,0,0,0.93,0,0,0,0.57,0,0,27,1.97,1.64,236.4,0,17.92,2.97,0,0,11.58,0,0,7.13,0,49.36,0,0,4.46,0,10.11
 48-58,0,0,0,0,3.72,0,0,99.59,2.53,0.76,20.31,0,0,0.95,0,0,0.54,0.5,0,0.39,36.74,0.54,2.37,239.83,0,12.16,3.97,0,0,1.8,0,0,0,0,55.42,0,0,2.8,0,0
 60-70,0,0,0,0,12.96,0,0,77.19,6.5,0,19.86,0,0,1.7,0.65,0,0,0,0,0,42.3,0.65,2.29,285.38,0.63,6.27,10.39,0,0,0.67,0,0,5.05,0,13.78,0,0,6.03,0,1.05
 72-82,0,0,0.76,0,0.55,0.58,0,57.22,0.49,3.61,25.64,0.97,0,1.98,0,0,0,1.76,0,0,30.42,1.75,5.24,225.94,1.09,12.48,29.07,0,0,0,0,0,0,0,19.84,0.5,0,3.34,2.13,0
 84-94,0,0,1.53,0,4.05,0,0,47.15,0.9,0.94,11.24,1.44,0,0,0.76,0,0,2.43,0,1.13,36.51,1.03,4.05,140.07,0,12.06,14.91,0,0,0,0,0,1.6,0,5.22,0,0,4.19,0.78,0
 96-106,0,0,8.16,0,8.22,0,0.63,26.5,0,0,25.96,0.7,0,1.65,3.51,0,0,5.92,0,0,28.14,0,4.8,95.01,0,11.22,7.9,0,9.73,5.74,0,0,1.37,0,5.64,0,0,3.67,0,0
108-118,0,0,1.86,0,2.5,0.52,0.64,31.71,0,1.34,33.61,1.99,0,0.92,0,1.01,0,5.25,0.89,0,34.12,0,0,182.56,0,4.35,21.57,0,0,1.83,0,0,1.18,0,8.74,2.12,2.7,0.88,0,0
120,0,0,0,0,26.57,0,0,24.79,0,0,48.84,1.31,0,0,4.54,2.21,1.05,1.74,0,0,35.21,0,0,312.21,3.31,17.64,33.24,0,0,4.78,0,0,0,0,42.68,0,16.98,0,3.69,0
