stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,63.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.25,3.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,22.12,5.33,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,3.66,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0.78,10.48,0,1.11,1.96,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,16.84,0,0.8,2.56,0,0
 48-58,0,0,0,5.74,0,6.83,0,0.88,0,0.75,5.8,0,0,0.83,0,0
 60-70,0,0,0,14.53,0,0,0,0,0,0,2.92,0,0,0,0.73,0
 72-82,0,0,0,0.6,0.74,0,0,0.53,0,0,3.33,0,0,0,0,2.8
 84-94,0,0,0,3.7,0,0,0,1.51,0,0,1.11,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.6,0,0,0,3.71,0,0,0,0,0,0,0,0
120,0,1.55,0,0,0,0,0,2.02,2.35,0,6.4,0,3.17,0,0,0
