stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,mural.cell,muscle,neural,notochord,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,20.92,136.96,0,0,0,0,0,0,0,0,0,0,49.9,0,0,0
  5-6,9.41,30.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.01,4.75,0,0,0,0
 14-21,0,0,0.88,0.87,0,0,0,2.74,0,0,1.93,0,0,0.91,0.8,0
 24-34,0,0,0,0.88,0,0,0,0,0,0,4.62,0,0,0,0,0
 36-46,0,0,0,0.64,0.58,3.93,0,1.4,0,2.66,0.67,0,0,0,0.76,0.69
 48-58,0,0,0,0,0.45,0,0,0,0.57,0,1.57,0,0,0,0,0
 60-70,0,0,0,0,1.36,0,0,0,0,0,3.09,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,3.07,0
108-118,0,0,0,0,0.45,0,0,0,0,1.58,1.49,0,0,0,0,0
