stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.69,155.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.7,0,9.36,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.49,4.41,0,0,83.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.46,0,16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.65,24.67,0,0,320.86,0,0,0,12.75,20.5,0,5.88,8.83,0,0,0,0
 14-21,0,0,0,2.03,7.56,1.75,0,13.26,0,0,0,4.42,0,0,0,0,0,0,0,6.96,0,0,9.76,160.46,0,0,2.05,0.97,0,0,0,39.8,0,68.89,136.28,76.14,0,0,0,0
 24-34,0,0,0,1.86,0,0,0,15.15,2.85,0,0,7.35,0,2.95,0,0,0,0,0.97,8.66,0,0,16.38,383.99,0,4.65,0,0,0,1.51,0,0,0,8.77,8.22,111.09,0,6.33,0,1.14
 36-46,0,0,0,0,0,0,0,39.57,5.68,0,0.6,16.7,0,0,0,0,0,0,0.67,15.21,0,0,10.75,634.03,0,0,0,0,2.85,0,0.81,0,0,5.55,0,137.73,0,0.67,0,0.57
 48-58,0,0,0,0,1.21,0,0,105.88,10.92,4.16,0,68.21,0,0,0,0,2.79,0,0,34.04,0,0.45,20.05,792.36,0,0,3.97,0,0,0.49,0,0,0,11.93,0,157.44,0,1.45,0,12.23
 60-70,0,0,0,0,11.45,0,0,226.42,9.75,0,0,189.35,0,0,0,0,0,0,0,18.73,0,0,15.81,893.15,0,0,1.12,0,0,9.33,0,0,0,1.71,0,87.5,0,0,0,5.13
 72-82,0,0,0.53,0,0.73,0.73,0,301.4,7.23,2.44,0,256.69,0.71,0,0,0,0,10.04,0,17.93,0.93,0,11.43,898.7,0,0.91,0,0,0,0,0,0,0,3.64,0,93.78,0.9,2.18,0.59,0
 84-94,0,0,1.44,0,5.18,2.86,0,194.12,6.77,1.38,0,202.56,0,0,0,2,0,0,0,16.16,0,0,8.9,656.83,0,0,0.82,0,6.05,0,0,0,0,5.8,0,41.75,0.98,0,0,0
 96-106,0,0,0,0,3.32,5.67,0,253.01,15.8,0,0,393.79,0,0,0,0.79,0,2.09,0,18.03,0,0,12.72,550.56,0,0,0.59,0,0,1.73,0,0,0,8.43,0,27.7,0,1.58,2.23,0
108-118,0,0,0,0,11.25,5.97,0.65,208.86,14.52,0,1,421.16,0,0,0,0,1.45,6.98,0,33.99,0,0,8.65,619.96,0.81,0.59,1.6,0,0,1.48,0,0,0.42,6.08,0,33.41,0,4.97,0,2.05
120,0,0,0,0,19.07,0,1.09,345.53,14.66,0,1.04,459.87,0,0,1.15,1.12,0,0,0,56.91,0,0,27.83,988.72,0,0,0,0,0,0,0,0,0,6.54,0,65.92,0,0,0,0
