stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.09,621.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0
  5-6,43.95,1160.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.73,0,0,0,0,0,24.97,0,0,0,0,0,0,0,0,0,0
  7-9,19.26,16.59,0,34.4,0,0,59.95,0,0,0,0,23.77,0,0,0,0,0,0,0,0,0,0,611.71,10.87,0,0,241.97,0,9.39,16.47,0,0,0,0,0,0,0,0,0
 10-12,0,20,0,26.32,0,24.63,58.28,0,0,0,0,8.76,0,0,0,0,0,0,0,0,0,0,676.06,31.88,0,0,227.64,0,0,9.77,0,44.12,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.06,0,3.49,0,0,0,0,0,0,0,0.97,0,0,0,2.62,0,0,10.84,93.07,0,0,0,2.58,0,0,0,11.53,1.27,0,4.14,29.46,0,0,0,0
 24-34,0,0,0,0,0.76,0,10.95,0,0,0.99,0.66,0,0,0,0,0,0.68,0,17.28,0,0,3.97,238.4,2.29,1.32,3.36,0,0,4.78,0,0,0,0,1.32,36.8,0,2.56,0,0
 36-46,0,0,0,0.63,2.17,0,27.38,0,0,3.15,0,0,0,0,0,0,0,0,11.44,0.59,1.42,2.85,252.94,0,1.47,0.61,0,0,1.54,0,2.9,0,0,0,56.83,0,2.37,0,0.57
 48-58,0,0,0,0,0,2.7,78.18,5.49,0,7.12,0,1.18,1.05,0.56,0,0,2.91,0,17.83,0.45,0.39,4.65,206.09,0.39,0,0.5,0,0,0,0,0,0,0,0,26.48,0,1.04,0,0
 60-70,0,0,0,0,3.21,3.65,113.97,0,0,17.13,0,0,0,0,0,0,1.2,0,22.15,0,2.57,0.93,227.14,0,1.1,1.12,0,0,0,0,0,0,4.63,0,43.73,0,9.72,0,0
 72-82,0,0,0.64,0,0,0.58,64.15,0,1.49,6.15,0,0,0.51,0,0.93,0,0.64,0,14.2,0.5,2.98,0.54,144.04,0,2.15,0,0,0,3.52,0,0,0,0,0,31.99,0.9,0.63,1.51,0.55
 84-94,0,0,0,0,4.21,0,62.18,0.67,0,5.31,0,0,2.41,2.07,0,0,0,1.05,18.2,0,0,0.95,104.66,1.49,0,0.76,0,0,2.26,0,0,0,0,0,10.12,0,1.9,0.77,0
 96-106,0,0,0,0,2.43,10.16,45.71,1.76,2.04,12.26,1.16,0,1.57,0,0,1.04,2.12,0,21.7,0,0,1.41,112.23,0,2.44,0,0,0,1.97,0,0,0,0,0,1.46,0.67,3.94,0,4.47
108-118,0,0,0,0,7.21,0,32.23,1.29,0,6.01,2.6,0,0,0.88,0,0,3.01,0,23.29,0,0,5.3,95.5,0,0.64,0,0,0,0.61,0,0,0,0,0,5.22,0,4.06,0,0
120,0,0,0,0,1.97,0,44.47,0,0,18.72,1.73,0,0,0,0,0,0,0,0,0,11.69,2.11,138.83,0,0,3.91,0,12.53,0,0,0,0,0,0,0,0,0,0,4.74
