stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.38,0,0,0,10.14,0,0,0,0
 10-12,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,4.37,0,0,0,0
 14-21,0.91,1.24,0,0,2.94,0,0,0,0,0,0,0,0,0,5.76,0,0,0,0,0,0.84,1.09,0
 24-34,0,4.69,0,0,1.56,0.8,0,0,0,0,0,0.83,0,0.65,23.62,0,0.9,0,0,1.09,0,2.79,0
 36-46,0,0,0,0,5.12,0,0,0,0,1.15,0,0,0.95,0,69.63,0,0,0,0,0,0,10.21,0
 48-58,0,0.59,0,0,14.25,0,0,1.98,0,0,0.58,2.07,0,0.49,39.35,0.56,0,1.06,0,0,0,10.09,0
 60-70,0,0.76,0,0,9.57,0,0,0,0,0,0,3.98,0,0,26.43,0,0.89,0,0,0,0,4.25,1.29
 72-82,0,0.91,0,0,17.22,0,0.49,0.82,0.88,0.63,0,2.21,0,0,23.15,0,0,2,0,0,0,4.13,0
 84-94,0,0,6.78,0,2.19,0,6.55,3.38,0.58,0,0,1.45,0,0,26.32,0,0,0,0,2.4,0,0,0
 96-106,0,1.44,0,0,4.98,0,0,0.74,0,0,0,0.95,0,0,6.82,0,0,1.2,0,0,0,0,0
108-118,0,0,0,0.46,7.48,0,0,0,0,1.69,0,0.83,0,0,13.41,0,0,1.33,0,0,0,0,0
120,0,1.59,0,0,0,0,0,1.87,0,0,0,0,0,0,19.02,0,0,0,0,0,0,0,0
