stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,86.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.22,27.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,22.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,5.28,0,0,0,0,0,0,0
 10-12,0,0,14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.53,6.38,0,0,8.79,0,0,0,38.85,4.35,0,0,0,0,0
 14-21,0,0,0,2.79,228.47,0,1.25,0,0,0,0,1.16,1.07,0,0,0,0,1.26,45.74,0,0,30.91,36.88,0,0,0,0,0,1.02,0,0,8.28,12.88,0,38.11,0,0
 24-34,0,0,0,3.59,23,0,5.64,0,0,0,0.9,0,8.7,0,0,1.17,1.2,21.93,95.1,0.61,0,24.5,183.8,0,1.76,0.84,0,0,12.15,0,0,1.38,44.31,0,257.03,0,1.51
 36-46,0,0,0,0,3.28,0,3.15,0,0,1.67,17.55,0,15.23,0,0,0.86,0,75.01,89.86,0,3.45,7.54,205.01,0.7,0.56,0,0,1.94,24.91,0,0,0,48.23,1.23,281.95,0,0
 48-58,0,0,0,0.44,10.39,0,18.79,0,0,2.36,17.12,0,18.34,0,0,8.45,0,76.42,136.36,0,1.42,13.61,122.98,0,0,0.47,0,0.97,7.03,0,0,0,31.19,0.74,224.42,0,6.19
 60-70,0,0,0,0.71,4.64,0,5.04,0,0,0.91,16.1,0,15.78,0,0,61.75,0,29.33,189.8,0,3.89,6.5,121.84,0,0,0,0,1.55,14.16,0,0,0,21.15,1.46,138.16,1.47,0
 72-82,0,0,0,2.25,2.3,0,12.28,0,0,0,37.15,2.54,20.88,0,0,89.58,0,19.46,210.63,0,9.09,7.74,84.26,0,0.95,0,0,2.66,2.62,0,1.23,0,0.93,15.49,329.29,3.93,5.6
 84-94,0,0,0,2.61,3.82,0,13.07,0.73,0,7.45,8.23,0,15.43,0,0,43.79,0,35.2,180.59,0,2.75,9.41,77.73,0,0,0,0,8.2,10.14,0,0,0,16.99,3.73,350.46,8.27,0
 96-106,0,0,0,4.03,7.51,0,31.35,0,3.86,10.84,26.31,0,23.6,0,1.18,28.74,0,12.65,185.69,1.42,1.72,1.97,68.45,0,0,0.78,0,5.46,3.16,0,0.6,0,2.7,0.87,441.98,4.28,0
108-118,0,0,0,13.08,6.66,0.65,23.28,0,0.74,0,40.55,2.41,7.35,0.42,0.44,70.48,1.81,36.73,174.2,0,8.18,1.84,59.53,0,0,0,0,5.44,4.69,0,0.88,0,1.2,2.02,286.87,0,0
120,0,0,0,16.18,0,0,8.91,0,0,0,2.63,1.74,0,0,0,51.73,0,6.21,119.89,0,12.57,1.26,97.57,0,0,7.62,0,0,2.31,0,0,0,17.15,9.46,266.48,0,0
