stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,41.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45,0,0,0,7.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.92,0.84,0,0,0,0.87,0,0,0.85,0,0,0,1.26,0,0,0,0,1.25,0,0,3.16,7.38,0.94,0,0,0,0,0,0,1.25,2.15,0,0,0,0
 24-34,0,0,0,2.42,11.26,0,0,1.43,0,1,0,0,2.54,4.49,2.01,0,0,0,0,0,0,7.09,0,0,2.68,12.01,0,0,1.22,0,0,0,6.18,0,3.49,0,3.45,0,2.45
 36-46,0,0,0,0.56,5.26,0,0,1.34,0,0,0,0.66,0,0,0,0,0,0,0.68,4.06,0,12.53,0,0,3.78,0.83,0,0.68,2.11,0,0,0,4.27,0,0,0,2.26,0,0
 48-58,0,0,0.44,0,0.55,0,0,2.57,0,0,0,0,1.92,0,0,0,0,0,0.5,3.12,0,5.38,0,0,0,5.23,0,0,1.21,0,0,0,3.24,0,0.59,0,0.91,0,0
 60-70,0,0,0,0,3.17,0,0,10.08,0,0,1.04,0,7.44,0,0,0,0,0,0,3.57,3.59,12.68,0,0,2.4,0,0,0,1.03,0,0,0,4.89,0,3.97,0,1.69,0,0.69
 72-82,0,0,3.76,0,0,0,0,11.05,0,1.33,0.78,0.66,19.66,0,0,0,0,0,0,0,0,26.72,0,2.92,0.97,11.85,0,0,0,0,0,0,2.82,0,0,0,6.13,1.99,0
 84-94,0,0,3.23,0,0,0,0,15.11,0,0,1.1,0,30.21,0,0,1.14,0,0,0,2.58,6.41,6.69,2.26,7.42,1.29,11.11,0,1.22,1.34,0,0,0,4.1,0,0,0,8.56,0,0
 96-106,0,0,5.9,0,4.36,10.83,1.07,15.23,3.05,1.01,0,3.13,64.68,0,0,1.53,0,0.73,0,8.3,0,12.15,0,1.52,1.95,23.61,0,0.81,2.13,0,0,1.68,5.26,0,0,0,0.88,0,0
108-118,0,0,4.17,0,0.54,0,2.84,25.65,0,0.54,0,1.31,75.88,0,0,0,0,0,0,10.44,0,19.08,0,0,0,22.79,0,0,1.78,0,0,0,6.68,0,0,0.54,2.94,0,0
120,0,0,0,0,0,0,0,11.03,0,0,0,0,73.15,0,0,1,0,0,0,4.81,0,0,1.12,0,0,8.62,0,0,4.55,0,7.06,0,7.1,0,0,0,5.76,0,0
