stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,43.09,1072.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.33,0,0,0,0
  5-6,16.92,503.03,0,0,0,0,0,0,0,0,0,0,29.39,0,0,0,15.44,0,0,0,0
  7-9,3.69,4.32,4.62,0,0,0,0,0,0,0,0,0,103.26,0,56.92,0,0,0,0,0,0
 10-12,0,0,16.38,0,0,0,0,0,0,0,0,0,91.24,0,15.07,0,0,0,0,0,0
 14-21,0,0,0,3.21,0,1.34,0,0,0,0,0,0.85,14.08,0,0,0,0.86,3.07,2.04,1.73,0
 24-34,0,0,0,5.28,0,4,0,0,0,0,1.63,0,1.47,0,0,0,5.09,0,0,5.59,0
 36-46,0,0,0,1,0,0.56,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.58,0,0,0,0,6.15,0,0,0,0.52,0,0,1.4,0
 60-70,0,0,0,0.71,0,0,0,0,0,10.18,0,0,4.7,0,0,0,5.33,0,0,0,0
 72-82,0,0,0,0,0.64,0.76,0,0,0,0,0,0,4.88,0,0,0,1.18,0,0,0,1.46
 84-94,0,0,0,0,0.66,6.23,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0.63,0
 96-106,0,0,0,0,0,0,0,1.22,0,0,0,0,0.73,2.91,0,1.67,0.68,0,0,0,0
108-118,0,0,0.74,0,0,0,0.42,0,2.21,0,1.05,0,3.65,0,0,0,0,0,0,0,0
