stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,12.66,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.86,14.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.47,4.36,8.6,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0.86,0,5.96,0,6.94,1.8,0,14.18,58.38,1.09,0,0
 24-34,0,0,0,0.62,0,1.89,0.61,0,0,0,0,0.68,0,0,1.63,0,15.1,0,25.56,0,0,1.92,20.33,2.23,0,0
 36-46,0,0,0.98,3.87,2.53,2.56,10.58,0,0.71,3.92,0,0,0,0,0,2.46,10.06,0,6.98,0,0,4.63,0,0,0,0
 48-58,0,0,0,0,15.29,7.27,7.81,1.1,0.89,0,0,0,0,0,0.44,0.83,9.54,0,0.47,0,0,0,0,0.74,0,0
 60-70,0,0,0,0.71,29.56,3.14,17.73,0.79,1.24,0,0,0,0.59,0,1.24,7.71,9.85,0,0,0,0,0,0,0,1.19,1.22
 72-82,0,0,1.09,0,162.79,10.91,11.89,0,0,0,0.53,0,0,0,5.99,0,9.99,0,0,0,0,0,0,0.89,0,1.38
 84-94,0,0,0,0,129.8,11.62,3.38,0.62,0,0,0,0,0,0,4.13,0.99,17.32,0,0,0,0,0,0,0,0,4.19
 96-106,0,0,0,1.89,139.65,4.35,22.45,0.84,1.9,0,0.58,0,0,3.87,14.87,1.12,20.32,0,1.65,0,0.87,0,0,0,0.66,1.67
108-118,0,0,0,0,91.61,10.47,17.96,1.16,0,0,0,0,0,0,5.86,10.18,6.23,0,0,0,0,0,0,0,0,0
120,0,0,0,0,72.68,2.49,22.78,0,0,0,0,0,0,0,0,4.09,10.31,0,0,0,0,0,0,0,0,0
