stage,axial,blastomeres,endoderm,eye,neural,paraxial_mesoderm
  3-4,0,76.91,0,0,0,0
  5-6,9.29,36.71,0,0,0,0
  7-9,0,0,5.32,6.8,32.07,16.48
 10-12,0,0,0,23.64,67.06,48.24
