stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.51,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.35,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.85,307.19,1.73,0,2.25,0,123.54,0,0,34.95,0,0,0.82,0,0,0,113.41,6.38,0,210.14,49.84,51.51,0,0,1.32,0,0.94,3.13,0,0,47.56,131.75,0,0,0,0,0
 24-34,0,0,24.74,63.61,0,0,4.33,0,299.84,0,5.8,57.06,3.43,0,0,0,0,6.3,343.53,0,0,490.85,191.82,102.57,0,3.4,0,6.8,1.75,0,1.47,5.89,10.37,269.77,0,0,1.85,0,0
 36-46,0,0,5.48,15.57,0,0,5.94,0,135.39,4.34,5.98,30.98,1.29,0,0,0,0,7,591.03,1.6,0,386.14,130.04,89.3,0,2.95,0,2.1,1.5,0,0,0.83,0.83,263.87,0,0,0,0,0
 48-58,0,0,0,15.69,0,0,14.29,0,128.45,12.3,19.55,37.64,0,0,0,0,0,2.49,463.23,0,0,240.08,86.33,9.83,0,10.23,0,1.67,0.42,0,0,0,0,93.01,0,1.52,0,0,0.54
 60-70,0,0.7,2.79,23.4,0,0,10.25,0,125.48,3.86,20.45,35.27,0,11.74,0,0.7,1.96,5.6,551.73,0,0.7,134.55,51.5,0,0,28.75,0,9.74,0,0,1.54,0,0,27.46,0.61,7.78,0,0,8.44
 72-82,0,1.44,0,12.47,0,1.04,40.71,0,74.43,15.93,34.11,31.57,5.1,0,0,2.01,1.94,1.08,751.49,0.51,17.76,115.64,75.62,0.61,0,58.55,0,10.48,0,0,0,0,0,38.8,0.78,18.87,0.79,6.4,0
 84-94,0,2.21,1.01,14.76,0,3.25,39.44,1.34,78.07,10.22,24.55,54.67,2.27,0,12.64,8.49,0,0,610.1,0,6.59,77.63,59.35,1.65,0,54.84,0,3.34,1.81,0,0.7,0,0,38.01,0,7.97,5.18,14.34,0
 96-106,0,0,0,26.41,3.52,0,34.14,0,63.21,31.25,22.58,27.01,3.96,0,0.81,7.03,0,0,547.24,0,23.4,76.04,63.56,1.87,0,119.43,0,13.94,2.44,0,0,0,0,22.55,0,9.02,0.75,10.47,5.1
108-118,0,0,1.07,11.85,0,1.56,25.6,0,95.85,36.09,18.72,16.87,6.44,0,5.54,31.2,2.24,0.43,531.06,0,15.03,60.02,63.88,0,0.61,74.13,0,5.58,4.8,0,0.46,0,0,11.62,0,5.69,7.88,16.42,0
120,0,0,0,6.11,7.49,0,14.9,0,46.71,60.71,8.67,6.75,0,0,1.05,10.84,0,17.89,547.35,0,23.17,21.09,102.41,0,0,67.28,0,2.76,1.11,0,0,0,0,7.66,0,6.5,5.89,56.87,0
