stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.1,11.74,1.67,0,4.71,0,0,0,0.89,3.12,0,0,1.92,0,0,0,1.13,4.54,0,0,0.98,31.71,2.41,0,0.88,0,0,0.81,0,0,5.07,10.12,0,0,0,0,0
 24-34,0,0,4.37,1.09,0,7.17,0,0.94,0,1.05,0.69,0,0.67,0,0,0,0,1.88,9.44,0,0,3.46,23.83,0,1.54,0,0,8.14,0,0,0,0.62,7.92,0,0,1.04,0,1.48
 36-46,0,0,15.82,0.56,0,1.39,0,0.93,0,3.4,0,0,0,0.66,1.95,0.95,0,0.86,14.58,0,0,1.1,4.51,4.76,0,0,0,8.05,0,0,1.69,0,7.8,0,0,0,0,3.96
 48-58,0,0,0,1.65,0,4.18,0.58,4.29,0,2.27,0,0.9,1.13,0,0,1.12,0,7.43,13.56,0,0.47,1.49,22.03,7.97,1.18,0.5,0,4.02,0,7,0,0,2.73,0,0,1.82,0,8.89
 60-70,0,0,0.85,0,0,14.43,0,2.37,0,18.06,0,0,1.67,0,0,0,0,3.25,15.53,0,1.04,2.49,11.56,1.87,1.19,0,0,7.9,0,0.97,0,0,7.64,0,0,1.17,1.25,11.98
 72-82,0,0,10.46,33.68,0,12.36,0,0,1.07,21.01,1.27,0,1.41,0,0,2.13,0.62,6.98,17.95,0,1.8,0.69,10.99,0.5,0,0.52,0,14.29,0,0,0,0,1.22,0,1.41,4.88,2.27,3.67
 84-94,0,0,8.37,17.06,0,14.56,0,3.14,0.75,14.43,1.67,0.8,0.75,0,0,1.03,0.57,17.26,39.35,0.57,0.65,0,15.57,5.03,0,1.5,0,23.77,0,0,0,0,0,0.69,0,4.06,0.78,4.97
 96-106,0,0,22.03,49.03,0,19.42,0,4.64,2.64,34.53,3.49,0.73,2.3,2.43,3.64,1.31,0,1.86,39.58,1.23,1.36,1.16,10.9,0,1.23,6.7,3.62,21.28,0,2.67,0,0,0,1.68,2.85,15.44,1.55,5.41
108-118,0,0,14.56,27.59,2.28,28.52,0,2.55,1.14,36.26,2.08,0.51,5.78,3.16,4.17,17.32,2.23,18.55,40.74,0,0,4.71,23.62,2.63,0.46,10.22,10.41,20.56,0,0,0.43,0,4.03,0,1.53,20.02,0,19.83
120,0,0,27.58,21.95,0,22.74,0,1.45,2.45,98.12,7.03,0,11.77,4.61,26.77,0,0,1.33,35.49,3.43,7.16,1.28,2.82,16.53,0,0,0,19.97,0,3.3,0,0,5.98,0,4.13,32.81,1.99,30.84
