stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,23.78,150.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.96,101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.28,0,0,0,0,0,0,0,0,0,33.12,0,0,0,24.35,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.56,0,0,0,13.56,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,4.96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,13.05,9.17,2.99,0,0,0,0,0,2.6,0,340.65,359.54,0.89,0,0
 24-34,0,0,0,2.3,0,0,4.98,39.36,0,0,2.46,0,2.46,0,2.22,0.72,0,4.82,11.31,0,61.01,60.41,5.62,0,0,0,0,0.72,0,0,150.81,156.48,13.77,4.03,0
 36-46,0,0,0,0,0,0,2.99,115.75,0,0,1.43,0,1.33,0,5.08,0,0,0,5.23,0,17.39,68.56,0,0,0,0,0,0,0,0.63,73.19,3.92,9.14,7.59,0
 48-58,0,0,0,3.94,2.36,0,4.35,63.68,0,0.98,7.88,0,4.92,0,0.42,0,0,0,17.08,0,35.24,38.29,0,0.44,0,0,0,2.71,0,0.46,38.09,0,31.53,2.13,2.49
 60-70,0,0,0,8.46,0,0,18.42,64.09,0,0,1.96,0,0.88,0,2.43,0,0,0,8.71,0,43.81,57.79,0,0,0.91,0,0,1.48,0,0,44.34,0,2.45,0.89,12.87
 72-82,0,0,0,0,0,0,16.83,49.04,0,0,4.17,0,0.86,0,0,0,0,0,4.76,0,24.69,29.79,0,0,0,3.38,0,0,0,2.57,25.56,0,4.11,10.5,0
 84-94,0,0,0,0,0,4.01,9.15,72.08,0,0,1.65,0,0.8,0,0.6,0.78,0.68,0,7.92,0,31.79,17.14,0,0,4.89,0,0,1.25,0,0,13.57,0,1.73,0.84,0
 96-106,0,0,0,0.67,1.48,2.1,45.24,65.64,0,0,4.49,0,0,0,0,0,0.59,0.98,5.86,2.07,28.42,81.02,2.22,0,3.34,10.66,0.87,1.66,0,0,35.88,0,4.3,10.77,0
108-118,0,0,0.74,1.16,0,27.67,45.53,55.65,0.54,2.2,8.44,0,0,0.42,1.53,0,0.61,0,15.65,0,40.37,18.27,0,0.46,1.86,8.11,0,6.95,0,0,30.99,0,4.74,8.01,0
120,0,0,0,8.91,2.28,6.91,20.18,93.3,0,1.04,3.71,0,0,0,0,0,0,0,12.55,3.51,61.39,51.44,6,0,3.23,0,0,0,0,0,12.18,0,0,2.09,0
