stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,83.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0
  5-6,0,48.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.22,3.1,0.9,0,0,0,0,1,0,0,0,0,0,0,41.48,0,0,28.25,18.88,0,0,0.95,0,0,0,1.54,1.19,0.89,0,0,0,0,0.84
 24-34,0,0,0,0,7.4,0,0,0,8.16,1.37,0,0,0,0,0.63,0.63,0,0.9,98.51,0,0,54.04,134.1,1.78,5.25,1.21,0,0,0.86,0,3.5,10.85,0,0,0,0,2.6
 36-46,0,0,0,0,3.3,0,3.48,0,22.38,6.48,0,0,0,0,0,0,0,20.44,125.12,0,0,44.26,374.42,0,6.98,0,0,0,0,0,0,36.71,0,0,0,0,14.65
 48-58,0,0,0,0,0,0,13.3,0.58,4.22,21.47,6.97,0,0,0,0,0,0,7.3,92.99,0,0.39,23.32,625.54,0,10.41,0,0,0,5.39,0,0,68.21,0,0,0,0,13.55
 60-70,0,0,0,0,5.42,0,87.76,0,0,20.94,7.74,0,0,0,0,9.69,0,6.36,112.23,2.49,0.88,8.38,1207,0,6.54,0,0,0,0,0,0,79.85,0.84,0,0.88,1.54,31.08
 72-82,0,0,0.56,0,1.72,0,117.48,2.53,0.5,16.18,17.09,1.68,0,0,0,0,0,6.45,147.36,0,0.81,8.94,1110.8,0,6.39,0,0,0,0.6,0,0,67.05,0,2.71,0,0.71,8.64
 84-94,0,0,0,0,3.1,0,87.6,0.69,2.29,11.88,23.61,0,1.02,2.95,0,3.58,1.81,10.53,147.55,0,0,7.21,812.69,0,15.72,1.1,0,0,4.31,0,0,85.93,0,2.05,1.82,4.46,8.57
 96-106,0,0,0,0,1.44,1.56,79.66,1.45,0,13.58,21.61,1.16,0,0,0,0,0,1.47,97.81,0,0,13.04,598.14,0,4.09,0,0,1.61,0,0,0,24.43,0,1.2,0,0.83,7.88
108-118,0,0,0,0,5.65,2.59,58.34,0,0,5.37,15.49,0,0,0,4.26,1.03,0,5.36,99.72,0,0,5.5,644.73,0,14.51,0,0,0,2.11,0,0,52.63,1.12,0,0,1.59,0.62
120,0,0,0,0,4.24,2.63,86.48,0,0,2.48,22.08,1.94,0,0,0,0,0,8.97,60.94,0,0,8.56,1060.55,0,2,0,0,0,1.03,0,0,36.44,0,0,0,0,0
