stage,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,spinal.cord,taste,vasculature
  7-9,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67,0,0,0,0,0,0
 10-12,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0
 14-21,0,0.9,2.08,0,0,0,0,0,0,0,0,0,0.88,2.13,0,0,0,2.18,0,0,0,2.24,0,0
 24-34,0,0,1.57,0.72,0,0,1.12,0,0,0,0,0,1.75,0,0,0,0.61,7.29,0,0,0,2.48,0,0
 36-46,0,0,0,1.46,0,0,1.29,0,0,0,0,0,0,0,0,0,0,23.15,1.29,0,0,2.89,0,0
 48-58,0,0,0,1.35,1.73,0,1.34,0,0,10.24,0,0,0.58,1.3,0.46,0,5.64,16.79,0,0,0,1.1,0,0
 60-70,0,0,2.05,11.8,0,0,0,1.17,0,1.01,0,0,0,1.93,0,0,0,22.24,0,0,0,0,0,0
 72-82,0,0,0,3.05,0,0,2.39,2.89,0,0.6,0,0,1.89,6.32,0,0,0,29.64,1.41,0.72,0.67,1.75,0,0.52
 84-94,0,0,0,0,0,0,1.54,8.12,0,6.7,0,1.36,0,1.18,0,0,0,7.99,0,7.92,1.09,0,0,2.1
 96-106,0,0,2.22,4.02,0,0.66,1.49,21.12,0.78,7.27,0,0.76,0,2.6,0,0,0,12.06,0,1.17,2.49,2.42,1.22,0
108-118,1.86,0,2.7,5.58,0,0,1.29,30.04,0,5.5,0.44,0,1.75,8.42,0,1.32,0.5,16.93,0,0,0,0,0,0
120,0,0,0,5.52,0,0,0,107.69,0,6.61,0,0,0,4.34,0,0,0,9.44,0,0,0,0,0,0
