stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,33.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.25,7.08,0,0,0,0,0,24.76,0,0,0,0,18.58,0,0,0,0,0,0,0,0,0,0,0,137.22,0,0,0,37.45,0,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.13,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0,119.66,19.27,0,0,45.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,17.96,1.81,0,5.61,0,0,0,0,0,0.92,0,0,0,0,0,0,12.63,0,0,303.58,48.03,0.85,0,12.62,0,0,0.89,0,8.69,0,11.97,348.53,2.75,0,0,0,0,0
 24-34,0,0,0,0,15.13,2.61,0,11.26,5.25,0,1.35,2.28,1.11,0,1.06,0.61,0,4.49,0,0,699.44,0,0,974.06,179.68,0,2.19,24.67,0,0,9.33,0,0,0,19.11,100.24,15.97,0,0,2.01,0,0
 36-46,0,0,0,0,2.29,0,0,12.18,20.33,0,1.34,0.69,0,1.46,0,4.83,0.71,1.52,0,0.91,1446.02,0,0.68,895.81,153.69,0,0.6,9.36,0,0,0,0,1.82,0,11.26,1.2,20.6,0,0,0.71,0,0
 48-58,0,0,0,0,1.22,0,0,46.83,9.51,0,7.09,4.45,2.63,11.63,0,0,0,0.41,0,0.4,1338.16,0,0,751.72,176.95,0,0,0,0,0,12.58,0,0,0.8,0,0.83,3.38,0,0.61,0.71,0,0.86
 60-70,0,0,0,0,3.99,0,0,61.85,0,0,8.88,5.54,0,5.54,0,3.07,0,0,1.2,0,1704.07,0.85,2.76,719.31,134.53,0,0,2.68,0,0.84,6.18,0,0,0,0.67,0,3.93,0,14.6,0,1.42,8.62
 72-82,0,0,0.87,0,2.44,2.22,0,108.47,0,0,11.95,4.76,0,8.01,0,0,1.19,2.04,0,0,2323.37,0.56,1.92,1052.82,208.86,0,0.6,0,0,4.65,0,0,0,0,0,0,14.1,5.26,11.9,9.83,15.9,0
 84-94,0,0,0,1,17.26,0.69,0,118.32,2.21,0.76,6.85,8.21,0,4.34,3.42,0,0,0,1.67,0,1798.71,0,1.01,641.22,78.72,0,2.19,3.77,0,2.93,0.79,0,0,1.09,0,0,4.34,3.71,9.93,1.61,14.96,0
 96-106,0,0,0,0,6.51,9.79,3.4,68.69,0,1.59,20.18,17.88,0,13.1,0.9,0,0,0,1.03,0,2073.05,3.37,0.85,622.1,147.63,0,1.99,4.02,0,5.01,6.89,0,0,2.76,0,0,10.53,0.64,9.06,3.34,51.01,0.73
108-118,0,0,0,1.95,17.33,0,0,37.82,9.58,0,12.94,9.61,0,32.39,1.09,0,2.03,0.87,1.87,0,2525.6,0,1.78,548.45,167.53,1.27,0.63,0,0,7.71,6.72,0,0,1.47,0,0,0.43,9.6,8.1,6.73,15.35,0
120,0,0,0,0,10.52,1.47,0,25.86,2.05,0,20.2,4.05,0,10.94,8.62,0,0,0,0,0,1902.23,0,0,436.76,161.89,0,0,0,0,0,9.98,0,0,0,0,0,0,0,5.78,2.2,42.51,0
