stage,blastomeres,eye,glial,mesenchyme,neural,otic,pronephros,somites,spinal.cord
  3-4,40.62,0,0,0,0,0,0,0,0
 10-12,8.29,0,0,0,11.84,0,0,8.15,0
 14-21,0,0,0,0,0.87,0,1.28,0,1.99
 24-34,0,1.12,0,0,1.39,0,0,0,0
 36-46,0,0,0.76,0,3.84,0,0,0,0
 48-58,0,1.12,0,0,2.66,0,0.61,0,0
 60-70,0,0,0,0,1.18,0,0,0,0.79
 72-82,0,0,0,0,1.64,0,0,0,0
 84-94,0,0.81,0,0,2.18,0.78,0,0,0
108-118,0,0.59,0,0.8,3.29,1.55,0,0,0
