stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,33.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0,0,0,0,0,0,0,0
  7-9,3.56,0,0,4.6,0,3.73,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,24.74,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.22,0.84,0,0,0.84,1,0,0,0,0,2.46,0,1.45,4.79,0,0,0,0.81,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.62,0.78,0,1.05,0,0,0,0,0,2.76,0,0.73,12.13,0,0,0,0,2.22,0,1.14,4.37,0,0,0,0
 36-46,0,0,0,0,0.72,2.15,0,0,0,0,0,0,0,0,0,0,0.71,13.15,0,0,0.81,0,1.43,0,0,0,0,0,0,0
 48-58,0,0,0,0,7.49,0.45,0,0.45,0,0,0.58,0,0,0,4.84,0,0,8.27,0,1.16,0,0,4.3,0,0,0.6,0,0,0.5,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,7.34,0,1.06,0.93,0,0,0,0,1.48,0,0,0,0,0,0.99,0.83
 72-82,0,0,0.78,0,0.5,3.59,0,1.2,0,0,0,0.52,0,0.69,11.09,0,0.71,3.9,0,0,0,0,7.41,0,0,1.81,0,0.75,3.53,0
 84-94,0,0,0,0,4.51,5.88,2.13,0,0,0,0,0.64,1.37,0.64,2.9,2.76,0,6.24,0,0,0,0,8.38,0,0,0,0,0,1.74,1.16
 96-106,0,0,0,0,1.4,0,0.68,0,0,0.67,0,4.14,0,1.05,8.77,0,0,6.53,0.77,0,0,0,6.34,0.7,0,0,0,0,2.24,0
108-118,0,0,0,0,5.48,7.47,0.42,0,0,2.37,0,1.68,0,0.86,6.22,0.97,0.76,7.09,0,0.47,1.54,0,5.64,0,0,0,3.45,0,0,0
120,0,0,0,0,4.56,0,4.03,0,0,4.33,0,3.53,2.56,0,4.03,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0
