stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,44.69,346.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.99,0,0,0,0,0,0,0,0
  5-6,31.42,296.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,8.83,12.81,0,0,0,0,0,0,0,0
  7-9,0,13,7.42,0,6.96,15.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.98,0,0,0,48.76,0,0,0,0,0,0,0,0,0
 10-12,0,15.06,7,0,0,26.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.57,5.72,0,0,88.91,0,9.69,0,19.05,0,0,0,0,0
 14-21,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,1.84,16.29,0.87,0,0.9,0,1.03,0,1.68,0,0,1.78,11.59,0,0
 24-34,0,0,0.6,7.82,0,3.3,0,0,0,0,0,0,0,0,0,0,0.96,0,3.22,0,4.57,47.3,0,2.45,0.63,0,1.86,0.86,0,1.41,0,0,15.13,0,0
 36-46,0,0,0,0,0,3.23,0,0,0,2.31,0,0,0,0,0,0,0,0,7.93,0,3.37,79.4,0,0,2.77,0,1.45,0,0,0,0,0,27.63,0,0
 48-58,0,0,0,0.39,0,9.64,0.39,0,0,4.48,0,0.51,0,0,0,0,0,0,11.81,0,1.29,82.84,0,0,0,0,0,0,0,0,0.4,0,12.63,0,5.02
 60-70,0,0,0,4.88,0,29.14,1.99,0,0,0.82,0,0,0,0,1.86,0,0,0,8.59,0,0,83.89,0,0,0,0,0,0,0,1.72,0,0,8.79,0.59,1.37
 72-82,0,0,0,0,5,38.74,0,0,2.99,6.74,1.52,1.25,0,0.53,0,0,0,0,7.48,0,1.65,72.8,0,0,0.49,0,0,0,0,0,2.68,0,15.08,0,0
 84-94,0,0,0,1.72,0,42,0,0,0,3.63,0,0,0,0.73,0,0,2.36,0,18.15,0,0,70.78,0,0.9,0,0,0,0,0,1.31,0,0,14.67,0,0.66
 96-106,0,0,0,0.87,2.65,5.52,0,0,0,6.02,0,1.2,1.33,0,0,0,0,0,20.04,0.67,2.66,56.09,0,2.21,0.6,0,0,0,0,0,0,0,6.3,0,0
108-118,0,0,0,0.43,0,29.27,0,0,0,4.65,0.8,0.52,0.67,0,0.44,0.43,0,0.55,17.09,0,0,48.15,0.44,0,0.48,0,0.62,0,0,0,0,0,0,1.51,1.99
120,0,0,0,0,0,2.46,1.18,2.16,0,9.52,0,0,0,0,0,0,0,0,27.53,0,0,63.56,1.25,0,0,0,0,0,0,0,0,0,0,0,7.47
