stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,95.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,25.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.6,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.06,0,0,0.95,0,0,0,0,0,0,0,1.25,0,56.59,126.18,0,0.82,0,0,1.26,5.79,0,7.53,29.61,0,0,0
 24-34,0,0,0,0,0,3.78,0,0,0,0,2.27,0,0,0,0,4.62,0,352.26,62.58,0,2.36,0,0.63,0,0,0,0.68,111.28,0.7,0,0
 36-46,0,0,0,0,0,28.56,0,0,0,2.24,0,0,0,0,0,1.19,0,437.43,63.31,4.75,3.09,0,0,0,0,0,0,112.28,0,0,0
 48-58,0,0,0,2.08,0,48.89,0,0.41,0.4,1.61,0,0,0,0,0,14.95,0,465.3,32.23,1.9,7.18,0,0,0,0,4.54,0,102.33,0,0,0
 60-70,0,0.62,0,0.64,0,154.18,0,0,0,6.63,0,0,0,0.77,0,4.16,1.08,636.41,4.35,0,9.67,0,0,0,0,0,0,88.52,0,0,0
 72-82,0,0.87,0,2.11,0.89,188.03,0,0,1.76,4.12,0,0,0,0,0,6.98,1.33,499.12,0.66,0,6.71,2.11,0,0,0,0,0,53.48,0,0,0
 84-94,0,0,0,0.76,0,228.53,0,0,0,4.57,0,0,0,1.21,0,16.43,0,422.9,3.39,1.83,15.22,0,0,0,0,0,0,33.86,0,2.23,0
 96-106,0,1.36,0,1.8,0,211.5,1.05,0,0,3.51,0,0,1.17,0,9.15,18.86,2.01,275.02,1.06,2.52,23.77,0,2.03,0,0,0,0,19.82,1.23,0.89,0
108-118,0,0.85,0,5.95,7.25,356.08,0,0,0,6.47,0,0.99,0,0,0,12.23,0,394.92,5.66,0,7.26,0,0,0,0,0,0,7.62,1.07,0,2.11
120,0,0,0,4.85,0,249.85,0,0,0,2.94,0,0,0,0,0,7.51,0,497.3,0,0,20.04,0,0,0,0,0,0,33.41,0,0,0
