stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0.99,3.84,0,0,1.01,0.85,0.89,0,0,0,0
 24-34,3.7,0,1.4,0,0.72,0,1.04,0.79,0,0,2.73,0,0,1.55,25.62,0,5.75,0,0,2.32,0,0,0,0
 36-46,3.48,0,1.44,0,0,2.91,1.77,0,0,0,2.05,0,0,0.68,32.94,0,12.18,0,0,2.12,0,0,0,0
 48-58,0,0,3.02,0,0,0,0.42,0,0,0,2.75,0,0.84,1.39,34.3,0,7.31,0,0,4.94,0,0,0,0
 60-70,0,0,7.67,0,0,3.48,0,0,0,0,12.51,0,2.57,0.9,46.66,0,4.04,0,0,2.18,0,0,0,0
 72-82,3.45,0,14.72,0,0,4.13,0,0,0.83,0,24.02,0,1.1,2.45,79.14,0,1.26,0,0,8.18,0,0.51,0,0
 84-94,2.32,0,15.12,0,0,15.12,0,0,0,1.02,22.63,0,0,0,57.93,0.61,2.3,0,0,0,0,0,0,0
 96-106,0.6,2.19,16.06,0,0,0,2.78,0,0,0.63,12.03,0,0.93,3.99,89.42,0,6.14,0,0,0,0,0,2.37,0
108-118,1.37,0,21.83,0,0,2.79,0,0,0,0.43,13.33,0,0,0,41.01,0,6.65,0,0,0,0.68,0,0,1.02
120,1.24,0,48.61,2.14,0,28.35,0,0,0,6.88,16.15,2.91,0,1.26,124.03,1.15,1.35,0,0,17.92,0,0,0,0
