stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  5-6,42.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,14.29,9.37,0,0,0
 14-21,0,2.84,0,0,0,0,0,2.34,0,0,0.85,0
 24-34,0,0,2.78,0,0,0,0,0,0,0,0.77,0
 36-46,0,0,0,0,0,1.52,0,0,0,1.67,0,0
 48-58,0,0,1.17,0.44,0,0,0.4,0.52,0,0,0,0
 60-70,0,0.69,0,0,0,0,0,4.27,0,0,0,0
 72-82,0,0,1.06,0,0,0,0,2.81,0,0,0,0
 84-94,0,0,2.76,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.79,0,0,0,0,0,0,0,0,0
108-118,0,0,0.73,0,2.43,0,0,0,0,1.54,0,1.62
120,0,0,22.33,0,0,0,0,4.11,0,0,0,0
