stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,64.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,16.59,9.65,0,8.19,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.67,0,0,0,0,12.08,0,0,0,0,0,4.97,0,0,0,0
 14-21,0,0.99,3.61,0.93,0,1,0,0,0,0,9.25,4.27,32.68,6.95,0,0,0,1.66,0,5.02,8.33,0,0.95
 24-34,0,1.28,0.62,4.49,0,0.64,0,0,0.7,0,6.37,4.47,20.74,0,0,0,0,0,0,0.62,4.37,0,3.94
 36-46,0,0,0,1.98,0,4.55,0,0,0,0,4.92,0,16.5,0,0,0,1.42,0,0,0,2.72,0,0
 48-58,0,0,0,1.37,0.45,2.4,0,0,0,0,3.93,1.36,11.54,0,1.17,0,0,0,0,0,3.42,0,0
 60-70,0,0,0,0,0,1.28,0,0,0,0,12.13,0,9.47,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.5,0,1.19,0,0,0,0,7.86,1.65,7.02,0,0,0,0,0,0,0,0,0.49,0
 84-94,0,0.97,0,4.69,0,1.14,0,0,0,0,9.34,0,5.31,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.58,0,0,0,0.57,0,0,0,0,8.8,1.08,0,0,0,0,1.27,0,0,0,0,0,0
108-118,0,1.01,0,7.38,0,1.55,0,0,0,1.26,7.01,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.61,0,0,0,17.2,0,21.3,0,0,0,0,0,0,0,0,0,0
