stage,axial,blastomeres,endoderm,eye,neural,notochord,paraxial.mesoderm,periderm,pgc
  3-4,134.83,2357.19,0,0,0,0,0,64.69,0
  5-6,51.25,857.56,0,0,0,0,16.32,54.5,0
  7-9,3.8,24.01,27.78,23.33,180.51,10.42,51.71,0,17.78
 10-12,0,0,8.37,5.31,96.27,0,37.53,0,0
