stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,98.01,1411.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.98,0,0,0,0,0,0,0,0,0
  5-6,35.12,1533.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.31,0,0,0,26.35,17.14,0,0,0,0,0,0,0,0,0
  7-9,27.64,67.78,78.8,0,0,0,122.78,0,0,0,0,64.83,0,0,0,0,0,0,0,0,0,0,0,1189.18,42.9,0,0,292.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.37,28.33,0,5.14,0,96.07,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,729.42,31.9,0,0,298.59,11.94,0,79.12,0,0,3.28,0,0,0,0
 14-21,0,0,3.34,24.56,3.7,0,9.79,0,0,5.94,2.16,0,1.57,0,0,0,0,0,0,13.78,0,0,18.86,232.81,8.71,4.67,2.46,3.73,9.46,13.78,2.18,0,4.86,49.37,0,0,0,0
 24-34,0,0,0,14.27,3.94,0,46.12,0,0,6.87,0,1.15,5.06,1.47,0,0,0,0,0,52.18,0,0,12.25,544.15,6.72,3.13,3.17,0,16.23,0,0,0.95,0.96,82.44,0,6.86,0,1.69
 36-46,0,0,0,6.99,15.88,0,103.89,0,1.45,16.34,0,0,1.41,0,0,2.31,0,0,1.44,46.01,0.63,1.42,14.1,317.49,0.65,2.89,0.74,0,6.01,0,2.78,0,0,69.17,0,1.36,0,1.22
 48-58,0,0,0,8.87,8.27,0,123.73,1.53,0.53,13.78,0,0,0,0,0,2.71,0,4.09,0,54.66,0,0.87,17.05,207.83,5.15,1.67,3.4,0,4.43,0,0,0,0,24.78,0,4.76,0,0
 60-70,0,0,0,4.53,12.87,0,98.58,0,0,30.36,3.45,0,0,0,0,0,0,1.45,0,46.95,0,4.46,1.49,106.3,0.69,0,0,0,0,0,0.59,0,0,23.8,0,1.72,0,6.39
 72-82,0,0,0,1.98,82.39,0,17.88,0,0,20.35,1.35,0,1,1.81,0.76,0,0.68,0,0,45.41,0.58,6.04,2.26,59.96,0,2.19,5.57,0,8.2,0,0,0,0,8.94,0,7.19,1.18,0
 84-94,0,0,0,4.92,59.98,0,27.91,1.82,0,9.24,1.24,0,0,0,0,1.31,0,0,0,30.19,0,4.98,8.4,28.57,1.05,4.08,1.35,0,2.77,0,0,0,0,0.79,3.74,6.65,4.27,0
 96-106,0,0,0,6.32,107.67,0,8.9,0,0,12.46,1.37,0,0,1.59,1.9,1,2.84,1.69,0,21.97,3.31,0,0.99,36.95,0,2.49,1.8,0,2.38,0,0.58,0,0,0,0,5.02,0.95,0
108-118,0,0,0,5.5,73.12,7.59,24.63,0,0.81,11.42,0,0,1.02,3.66,0.89,0.44,0,0.51,0,15.73,4.16,0,1.68,44.37,0,0.43,0.79,0,2.47,0,0,0,0,0.57,0.69,7.62,0,0
120,0,0,0,5.02,37.36,0,12.84,0,2.48,13.69,5.43,0,0,4.99,1.45,0,0,2.01,0,25.69,0,0,2.09,76.55,6.95,0,5.75,0,4.15,0,0,0,0,0,0,2.27,4.22,0
