stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,116.04,760.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.3,554.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.24,0,0,0,0,0,0,0
  7-9,11.58,3.31,0,0,0,0,17.54,0,0,0,0,0,10.38,0,0,0,0,0,0,0,139.94,4.49,0,0,36.87,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.96,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,66.41,0,0,0,6.14,0,0,0,10.55,0,0,0,0,0
 14-21,0,0,0,0,11.43,0.8,2.86,0,0,0,0,0.96,0,0,0,0,0,6.51,0,2.98,68.06,0,0,0,0,0,0,15.62,0,5.89,14.12,0,1.07,0
 24-34,0,0,0,0,1.2,0,12.67,0,0,0,1.03,0,0,1.48,0,0,0.75,9.18,0.91,2.83,111.97,0,3.21,2.11,0,0,0,0,0,0.66,17.72,0,1.95,0
 36-46,0,0,0,0,0.71,0,12.52,0,0,0,8.09,0,0,0,9.07,0,0.74,6.01,0,1.9,70.19,0,0.99,0.81,0,0,1.24,0,0,0,16.93,0,0,0
 48-58,0,0,0,0,2.14,0,26.28,0,0,0,15.25,0,0,0,0,0,0,10.21,0.91,0.38,65.39,0,0,0.71,0,0,0.46,0,0,0,11.8,0,2.1,0
 60-70,0,0,0,0,1.9,0,13.97,0,0,0,11.7,0,0,0,0.6,8.53,0,18.43,0,1.99,27.22,0,0,0,0,0,0,0,0,0,10.97,0,0,0
 72-82,0,0,0,0,0.51,0,20.77,2.65,0,0,9.37,0,0,0,0,0,0.86,11.78,0,0,33.67,0.55,1.32,0,0,0,0,0,0,0,6.8,0,0.63,0
 84-94,0,0,0,0,0.81,0,4.16,0,0,0,0.86,0,0,0,0,0,0,8.52,2.32,0,8.83,0,0,0.9,0,0.79,3.64,0,0,0,1.21,0,1.83,0
 96-106,0,0,0,0,0.76,0,2.33,0,0,1.12,3.85,1.49,0,0,0.59,0.63,2.22,15.47,0,1.48,9.31,0,0,0,0,0,0.69,0,0,0,0,1.97,0,0
108-118,0,0,0.55,0,1.8,0,17.79,0,0.47,0,5.09,0.47,0,0,1.24,0.72,0.65,2.82,0,0.99,22.17,0,1.19,0.74,0,0,0,0,0,0,0.92,0,2.77,1.79
120,0,0,11.35,0,3.1,0,0,0,0,0,16.6,0,0,0,0,0,0,4.1,0,0,23.51,0,0,0,0,0,0,0,0,0,1.81,0,0,0
