stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  3-4,54.21,0,0,0,0,0,0,0,0,0,0
  5-6,72.29,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.5,0,0,0,0,15.71,3.42,0
 10-12,0,0,0,3.81,0,0,0,0,20.03,0,0
 14-21,0,0,0,0,0,0,0,0,0.97,0,0
 24-34,0,0,0,0,0,0,0,0,1.02,0,0
 36-46,0,0,0,0,0,2.98,0,0,0,0,3.18
 48-58,0,0.44,0,0.5,0.41,0,1.13,0.47,4.66,0,0.73
 60-70,0,0,0,0.68,0,1.12,0,0,0,0,0
 72-82,0,0,0,0,0,0.78,1.3,2.14,0,0,0
 84-94,0,0,0,1.46,0,1.64,0,0,0,0,0
 96-106,0,0,1.11,0,0,0,0,0,0,0,0
